Frequency (Hz)	Level (dB)
21.533203	-64.174034
43.066406	-52.749519
64.599609	-46.591293
86.132812	-45.027870
107.666016	-47.464962
129.199219	-47.485371
150.732422	-49.271835
172.265625	-49.819736
193.798828	-44.659756
215.332031	-42.212296
236.865234	-41.763748
258.398438	-47.263058
279.931641	-49.063053
301.464844	-39.945255
322.998047	-39.148434
344.531250	-41.488976
366.064453	-40.843365
387.597656	-37.029202
409.130859	-32.949730
430.664062	-21.394182
452.197266	-21.566750
473.730469	-33.963974
495.263672	-33.660984
516.796875	-24.219746
538.330078	-24.775763
559.863281	-30.758394
581.396484	-31.596701
602.929688	-25.532887
624.462891	-21.498331
645.996094	-28.632620
667.529297	-42.086945
689.062500	-44.737518
710.595703	-44.093807
732.128906	-47.926472
753.662109	-53.361282
775.195312	-55.447323
796.728516	-55.471188
818.261719	-58.144585
839.794922	-53.073284
861.328125	-40.762508
882.861328	-35.635132
904.394531	-41.528748
925.927734	-55.767807
947.460938	-54.252911
968.994141	-53.868019
990.527344	-56.093742
1012.060547	-51.540932
1033.593750	-35.475704
1055.126953	-31.316046
1076.660156	-37.575035
1098.193359	-46.854916
1119.726562	-54.359314
1141.259766	-59.537857
1162.792969	-61.875347
1184.326172	-66.908554
1205.859375	-60.816761
1227.392578	-43.581238
1248.925781	-38.384136
1270.458984	-43.184563
1291.992188	-51.220776
1313.525391	-45.786552
1335.058594	-43.877674
1356.591797	-51.728901
1378.125000	-59.014679
1399.658203	-62.377617
1421.191406	-62.458172
1442.724609	-63.190399
1464.257812	-65.662590
1485.791016	-69.979874
1507.324219	-67.407761
1528.857422	-64.907112
1550.390625	-56.438957
1571.923828	-46.172867
1593.457031	-46.079552
1614.990234	-56.824051
1636.523438	-67.974899
1658.056641	-67.489082
1679.589844	-68.100616
1701.123047	-66.308083
1722.656250	-61.531815
1744.189453	-49.958027
1765.722656	-37.051617
1787.255859	-37.136707
1808.789062	-50.137856
1830.322266	-63.265938
1851.855469	-63.351559
1873.388672	-55.798977
1894.921875	-57.816204
1916.455078	-70.253456
1937.988281	-76.763062
1959.521484	-72.953636
1981.054688	-70.526428
2002.587891	-75.486099
2024.121094	-77.248779
2045.654297	-73.066704
2067.187500	-69.683495
2088.720703	-62.481979
2110.253906	-54.143051
2131.787109	-56.628880
2153.320312	-68.811432
2174.853516	-70.643013
2196.386719	-60.381435
2217.919922	-46.631851
2239.453125	-45.620369
2260.986328	-56.053322
2282.519531	-71.794014
2304.052734	-76.849777
2325.585938	-82.034904
2347.119141	-84.812607
2368.652344	-82.935089
2390.185547	-81.640892
2411.718750	-83.016068
2433.251953	-83.927902
2454.785156	-82.774033
2476.318359	-75.291420
2497.851562	-63.278419
2519.384766	-57.229343
2540.917969	-61.320896
2562.451172	-76.079056
2583.984375	-82.303581
2605.517578	-82.092926
2627.050781	-76.363335
2648.583984	-69.394302
2670.117188	-60.915913
2691.650391	-57.336544
2713.183594	-63.368088
2734.716797	-75.182098
2756.250000	-81.620209
2777.783203	-85.403084
2799.316406	-87.050812
2820.849609	-86.076675
2842.382812	-89.106247
2863.916016	-93.247559
2885.449219	-94.627495
2906.982422	-91.784775
2928.515625	-86.662148
2950.048828	-89.456169
2971.582031	-92.683350
2993.115234	-92.239273
3014.648438	-88.653702
3036.181641	-87.966110
3057.714844	-85.708061
3079.248047	-81.814529
3100.781250	-79.789078
3122.314453	-72.846039
3143.847656	-65.530190
3165.380859	-64.335251
3186.914062	-64.675720
3208.447266	-62.018562
3229.980469	-66.260612
3251.513672	-80.642021
3273.046875	-84.400070
3294.580078	-86.172958
3316.113281	-89.117706
3337.646484	-90.772301
3359.179688	-88.017838
3380.712891	-89.277924
3402.246094	-90.900574
3423.779297	-87.286613
3445.312500	-86.720909
3466.845703	-87.863182
3488.378906	-89.508751
3509.912109	-88.224609
3531.445312	-84.404579
3552.978516	-82.853920
3574.511719	-80.813934
3596.044922	-72.585434
3617.578125	-59.852718
3639.111328	-57.133198
3660.644531	-63.384254
3682.177734	-80.883652
3703.710938	-85.301079
3725.244141	-84.590393
3746.777344	-75.745819
3768.310547	-71.572174
3789.843750	-76.045082
3811.376953	-75.848160
3832.910156	-78.600853
3854.443359	-87.235825
3875.976562	-88.260048
3897.509766	-88.624947
3919.042969	-92.512383
3940.576172	-92.825485
3962.109375	-95.016823
3983.642578	-97.742676
4005.175781	-93.881157
4026.708984	-92.270760
4048.242188	-92.124733
4069.775391	-94.643654
4091.308594	-87.028946
4112.841797	-79.984222
4134.375000	-82.135353
4155.908203	-92.215271
4177.441406	-98.258621
4198.974609	-99.999733
4220.507812	-97.020721
4242.041016	-96.712410
4263.574219	-97.429970
4285.107422	-97.394463
4306.640625	-91.747238
4328.173828	-84.845093
4349.707031	-84.734291
4371.240234	-89.229378
4392.773438	-94.562767
4414.306641	-98.169449
4435.839844	-101.233932
4457.373047	-98.451981
4478.906250	-93.356903
4500.439453	-93.167168
4521.972656	-97.258278
4543.505859	-100.586586
4565.039062	-103.741356
4586.572266	-101.179680
4608.105469	-99.502678
4629.638672	-102.373924
4651.171875	-106.928734
4672.705078	-112.243202
4694.238281	-116.679985
4715.771484	-116.386597
4737.304688	-116.341080
4758.837891	-115.858833
4780.371094	-114.444397
4801.904297	-112.775864
4823.437500	-109.661293
4844.970703	-106.728600
4866.503906	-107.477692
4888.037109	-103.069931
4909.570312	-98.206055
4931.103516	-98.666023
4952.636719	-103.099213
4974.169922	-107.205444
4995.703125	-105.423820
5017.236328	-103.839188
5038.769531	-101.885956
5060.302734	-102.244759
5081.835938	-98.528725
5103.369141	-96.472382
5124.902344	-96.887520
5146.435547	-98.304131
5167.968750	-95.551720
5189.501953	-96.214973
5211.035156	-100.288284
5232.568359	-102.432373
5254.101562	-102.113213
5275.634766	-101.212563
5297.167969	-101.075043
5318.701172	-102.355782
5340.234375	-102.793144
5361.767578	-102.657280
5383.300781	-102.387939
5404.833984	-100.161957
5426.367188	-101.137482
5447.900391	-101.903404
5469.433594	-102.037170
5490.966797	-100.473457
5512.500000	-99.828400
5534.033203	-99.482552
5555.566406	-99.811348
5577.099609	-99.275528
5598.632812	-98.022850
5620.166016	-92.606873
5641.699219	-91.833923
5663.232422	-96.619164
5684.765625	-100.002571
5706.298828	-101.297943
5727.832031	-100.516129
5749.365234	-98.779358
5770.898438	-98.424095
5792.431641	-97.513931
5813.964844	-98.620461
5835.498047	-99.992783
5857.031250	-99.751335
5878.564453	-99.967911
5900.097656	-99.730141
5921.630859	-99.918549
5943.164062	-98.662270
5964.697266	-97.343964
5986.230469	-96.761963
6007.763672	-96.933914
6029.296875	-98.095436
6050.830078	-99.469620
6072.363281	-97.600410
6093.896484	-95.935875
6115.429688	-96.734573
6136.962891	-97.475533
6158.496094	-91.248695
6180.029297	-91.447899
6201.562500	-97.000816
6223.095703	-96.995758
6244.628906	-96.852516
6266.162109	-97.398613
6287.695312	-97.894562
6309.228516	-97.823502
6330.761719	-96.623955
6352.294922	-97.160904
6373.828125	-97.218727
6395.361328	-97.626495
6416.894531	-98.243401
6438.427734	-96.990158
6459.960938	-97.496010
6481.494141	-98.674316
6503.027344	-98.357918
6524.560547	-97.239220
6546.093750	-97.170189
6567.626953	-96.285347
6589.160156	-97.204094
6610.693359	-97.717659
6632.226562	-97.361053
6653.759766	-96.882309
6675.292969	-98.022217
6696.826172	-96.812920
6718.359375	-94.609047
6739.892578	-94.611450
6761.425781	-95.173386
6782.958984	-95.770828
6804.492188	-98.470879
6826.025391	-99.312454
6847.558594	-99.584175
6869.091797	-98.350464
6890.625000	-96.750305
6912.158203	-98.453453
6933.691406	-97.783173
6955.224609	-98.163506
6976.757812	-97.670181
6998.291016	-98.993011
7019.824219	-99.553131
7041.357422	-98.756836
