Frequency (Hz)	Level (dB)
21.533203	-63.217735
43.066406	-51.226185
64.599609	-47.209141
86.132812	-46.808243
107.666016	-47.274761
129.199219	-49.976936
150.732422	-50.700031
172.265625	-49.223499
193.798828	-45.437698
215.332031	-42.440063
236.865234	-40.551662
258.398438	-44.889549
279.931641	-46.366550
301.464844	-40.242348
322.998047	-44.253265
344.531250	-41.387348
366.064453	-42.324009
387.597656	-45.660847
409.130859	-31.880896
430.664062	-20.818302
452.197266	-21.287590
473.730469	-31.869888
495.263672	-34.802094
516.796875	-34.489582
538.330078	-20.129959
559.863281	-16.054882
581.396484	-22.417423
602.929688	-35.309540
624.462891	-35.542580
645.996094	-22.138409
667.529297	-19.788143
689.062500	-29.661148
710.595703	-43.867805
732.128906	-48.811432
753.662109	-48.285641
775.195312	-48.819305
796.728516	-47.731331
818.261719	-49.745178
839.794922	-57.614563
861.328125	-39.044052
882.861328	-33.668781
904.394531	-39.395031
925.927734	-50.249798
947.460938	-49.770607
968.994141	-52.939941
990.527344	-57.387508
1012.060547	-54.283066
1033.593750	-56.994747
1055.126953	-48.788593
1076.660156	-41.519928
1098.193359	-37.815525
1119.726562	-38.776367
1141.259766	-49.754688
1162.792969	-56.847073
1184.326172	-64.439835
1205.859375	-66.473289
1227.392578	-66.211784
1248.925781	-60.024391
1270.458984	-63.096272
1291.992188	-50.838573
1313.525391	-40.382698
1335.058594	-40.160202
1356.591797	-49.810825
1378.125000	-57.654964
1399.658203	-65.499542
1421.191406	-63.573196
1442.724609	-62.834343
1464.257812	-67.836655
1485.791016	-72.792603
1507.324219	-70.641464
1528.857422	-69.501312
1550.390625	-69.937248
1571.923828	-71.855255
1593.457031	-72.104912
1614.990234	-65.530106
1636.523438	-59.261288
1658.056641	-44.509727
1679.589844	-42.538662
1701.123047	-51.566399
1722.656250	-62.414917
1744.189453	-48.660229
1765.722656	-36.766537
1787.255859	-36.804291
1808.789062	-49.424015
1830.322266	-67.681465
1851.855469	-71.122086
1873.388672	-74.262436
1894.921875	-70.562988
1916.455078	-71.895660
1937.988281	-75.401245
1959.521484	-66.141670
1981.054688	-60.764740
2002.587891	-62.689850
2024.121094	-73.176003
2045.654297	-82.490356
2067.187500	-83.799988
2088.720703	-81.349388
2110.253906	-81.341179
2131.787109	-81.333870
2153.320312	-76.634521
2174.853516	-73.898300
2196.386719	-64.913307
2217.919922	-51.965584
2239.453125	-49.457401
2260.986328	-55.398014
2282.519531	-67.434517
2304.052734	-75.956802
2325.585938	-77.714050
2347.119141	-80.200134
