Frequency (Hz)	Level (dB)
21.533203	-62.493622
43.066406	-51.885223
64.599609	-45.955795
86.132812	-44.818478
107.666016	-45.567520
129.199219	-50.965336
150.732422	-50.000694
172.265625	-42.178204
193.798828	-32.858765
215.332031	-29.523571
236.865234	-28.344992
258.398438	-28.949715
279.931641	-18.877562
301.464844	-16.242168
322.998047	-23.212536
344.531250	-19.841326
366.064453	-22.013165
387.597656	-34.789757
409.130859	-39.674511
430.664062	-41.397160
452.197266	-35.932976
473.730469	-19.745983
495.263672	-12.117791
516.796875	-15.913638
538.330078	-31.793833
559.863281	-32.195580
581.396484	-24.571487
602.929688	-26.145060
624.462891	-35.567383
645.996094	-40.255997
667.529297	-44.307129
689.062500	-29.555132
710.595703	-28.258333
732.128906	-32.447346
753.662109	-32.300323
775.195312	-36.568119
796.728516	-46.906933
818.261719	-55.359367
839.794922	-50.302048
861.328125	-42.248653
882.861328	-35.654129
904.394531	-39.651501
925.927734	-47.672367
947.460938	-48.320621
968.994141	-46.496178
990.527344	-36.020355
1012.060547	-35.995502
1033.593750	-30.293409
1055.126953	-25.667915
1076.660156	-31.610844
1098.193359	-50.352985
1119.726562	-55.813461
1141.259766	-61.133213
1162.792969	-55.232117
1184.326172	-51.036392
1205.859375	-52.629856
1227.392578	-52.319775
1248.925781	-49.372917
1270.458984	-53.295330
1291.992188	-58.668785
1313.525391	-60.671200
1335.058594	-60.074642
1356.591797	-56.960732
1378.125000	-48.130619
1399.658203	-37.962074
1421.191406	-38.379513
1442.724609	-49.697933
1464.257812	-45.197548
1485.791016	-39.300831
1507.324219	-38.794659
1528.857422	-45.925953
1550.390625	-56.081963
1571.923828	-57.991798
1593.457031	-59.234104
1614.990234	-65.497459
1636.523438	-68.721474
1658.056641	-67.875259
1679.589844	-65.458107
1701.123047	-62.692795
1722.656250	-54.870499
1744.189453	-45.814564
1765.722656	-40.222420
1787.255859	-39.445133
1808.789062	-45.672554
1830.322266	-60.320374
1851.855469	-66.606461
1873.388672	-63.094063
1894.921875	-60.940258
1916.455078	-64.005615
1937.988281	-69.628471
1959.521484	-62.089966
1981.054688	-59.613419
2002.587891	-45.683941
2024.121094	-41.169056
2045.654297	-47.150532
2067.187500	-56.435539
2088.720703	-49.155563
2110.253906	-49.508358
2131.787109	-51.900692
2153.320312	-57.649071
2174.853516	-65.483437
2196.386719	-69.152550
2217.919922	-69.908249
2239.453125	-68.602158
2260.986328	-61.220211
2282.519531	-57.644501
2304.052734	-64.865829
2325.585938	-70.486572
2347.119141	-67.629944
2368.652344	-61.635971
2390.185547	-52.440327
2411.718750	-51.890671
2433.251953	-60.737999
2454.785156	-66.212151
2476.318359	-53.842358
2497.851562	-46.193462
2519.384766	-47.069046
2540.917969	-51.123882
2562.451172	-54.447987
2583.984375	-62.755665
2605.517578	-65.512428
2627.050781	-69.196800
2648.583984	-76.307976
2670.117188	-72.198128
2691.650391	-67.945099
2713.183594	-61.668236
2734.716797	-63.552265
2756.250000	-71.973335
2777.783203	-75.073242
2799.316406	-66.751396
2820.849609	-64.538193
2842.382812	-66.570946
2863.916016	-65.292175
2885.449219	-65.534378
2906.982422	-72.845695
2928.515625	-76.543755
2950.048828	-72.880096
2971.582031	-74.057510
2993.115234	-77.045822
3014.648438	-71.658081
3036.181641	-68.882828
3057.714844	-63.597805
3079.248047	-57.706161
3100.781250	-61.637230
3122.314453	-75.239128
3143.847656	-82.065399
3165.380859	-80.348557
3186.914062	-81.073204
3208.447266	-83.726242
3229.980469	-81.058754
3251.513672	-76.203499
3273.046875	-75.570869
3294.580078	-79.094482
3316.113281	-77.585091
3337.646484	-69.372467
3359.179688	-65.310890
3380.712891	-69.147591
3402.246094	-76.774376
3423.779297	-77.670189
3445.312500	-80.463631
3466.845703	-81.043251
3488.378906	-81.415810
3509.912109	-83.367455
3531.445312	-80.543938
3552.978516	-83.364632
3574.511719	-82.598083
3596.044922	-75.521317
3617.578125	-65.220436
3639.111328	-63.205105
3660.644531	-67.179245
3682.177734	-64.899292
3703.710938	-64.627647
3725.244141	-71.162865
3746.777344	-79.616615
3768.310547	-75.558510
3789.843750	-74.753525
3811.376953	-78.193756
3832.910156	-77.633385
3854.443359	-80.589218
3875.976562	-71.046387
3897.509766	-63.456940
3919.042969	-64.305000
3940.576172	-70.735481
3962.109375	-75.842331
3983.642578	-78.274178
4005.175781	-71.252312
4026.708984	-65.695786
4048.242188	-67.739624
4069.775391	-75.029816
4091.308594	-82.903748
4112.841797	-83.790039
4134.375000	-85.428123
4155.908203	-84.868454
4177.441406	-79.696983
4198.974609	-75.029915
4220.507812	-75.715630
4242.041016	-85.780472
4263.574219	-92.942436
4285.107422	-90.537056
4306.640625	-89.113121
4328.173828	-88.641830
4349.707031	-83.228813
4371.240234	-81.415253
4392.773438	-83.945351
4414.306641	-88.368378
4435.839844	-84.514412
4457.373047	-78.967979
4478.906250	-80.594933
4500.439453	-76.779434
4521.972656	-80.372002
4543.505859	-91.131760
4565.039062	-95.014961
4586.572266	-99.032135
4608.105469	-103.827057
4629.638672	-104.109131
4651.171875	-103.038948
4672.705078	-99.881439
4694.238281	-100.176666
4715.771484	-93.555542
4737.304688	-85.940407
4758.837891	-87.129494
4780.371094	-95.179390
4801.904297	-101.547676
4823.437500	-98.637444
4844.970703	-96.313950
4866.503906	-96.737282
4888.037109	-97.559692
4909.570312	-96.631371
4931.103516	-96.555443
4952.636719	-95.980385
4974.169922	-98.076080
4995.703125	-103.100189
5017.236328	-96.988609
5038.769531	-93.252144
5060.302734	-86.127869
5081.835938	-83.838219
5103.369141	-86.619629
5124.902344	-91.104973
5146.435547	-96.084930
5167.968750	-94.714638
5189.501953	-95.162170
5211.035156	-96.238014
5232.568359	-97.315170
5254.101562	-93.534378
5275.634766	-86.506050
5297.167969	-83.183655
5318.701172	-85.642242
5340.234375	-92.217079
5361.767578	-88.155388
5383.300781	-84.849876
5404.833984	-82.672813
5426.367188	-84.715599
5447.900391	-91.650841
5469.433594	-89.906357
5490.966797	-91.572830
5512.500000	-94.763794
5534.033203	-92.662895
5555.566406	-92.919815
5577.099609	-88.615051
5598.632812	-88.433540
5620.166016	-92.082176
5641.699219	-92.024963
5663.232422	-92.795204
5684.765625	-90.683556
5706.298828	-80.107628
5727.832031	-78.661209
5749.365234	-86.010376
5770.898438	-91.570885
5792.431641	-85.839081
5813.964844	-80.123871
5835.498047	-80.872864
5857.031250	-83.331573
5878.564453	-86.781494
5900.097656	-87.757523
5921.630859	-90.148529
5943.164062	-92.073441
5964.697266	-93.108360
5986.230469	-91.940506
6007.763672	-86.416710
6029.296875	-79.074539
6050.830078	-78.487801
6072.363281	-85.546181
6093.896484	-90.814606
6115.429688	-89.864075
6136.962891	-88.549858
6158.496094	-87.372124
6180.029297	-88.317314
6201.562500	-89.094482
6223.095703	-87.820061
6244.628906	-90.829323
6266.162109	-90.513252
6287.695312	-90.391335
6309.228516	-90.310478
6330.761719	-89.812309
6352.294922	-88.267113
6373.828125	-88.502151
6395.361328	-91.445503
6416.894531	-91.005356
6438.427734	-91.030670
6459.960938	-89.728691
6481.494141	-89.622444
6503.027344	-88.176361
6524.560547	-88.394035
6546.093750	-89.904495
6567.626953	-89.214859
6589.160156	-86.728882
6610.693359	-85.782341
6632.226562	-86.542679
6653.759766	-88.659096
6675.292969	-90.448685
6696.826172	-89.657639
6718.359375	-91.765259
6739.892578	-91.378990
6761.425781	-90.804932
6782.958984	-90.532234
6804.492188	-91.304352
6826.025391	-92.058723
6847.558594	-93.426468
6869.091797	-93.175278
6890.625000	-91.996811
6912.158203	-93.097557
6933.691406	-93.175873
6955.224609	-93.101357
6976.757812	-92.386093
6998.291016	-89.036491
7019.824219	-87.242378
7041.357422	-85.758408
7062.890625	-87.924400
7084.423828	-93.131798
7105.957031	-93.092392
7127.490234	-93.337532
7149.023438	-95.413727
7170.556641	-93.794907
7192.089844	-92.330490
7213.623047	-93.743332
7235.156250	-93.700027
7256.689453	-93.097214
7278.222656	-93.662621
7299.755859	-93.240387
7321.289062	-92.176582
7342.822266	-93.314041
7364.355469	-95.811241
7385.888672	-94.998955
7407.421875	-93.066116
7428.955078	-92.994339
7450.488281	-93.474106
7472.021484	-96.682976
7493.554688	-96.515564
7515.087891	-96.356522
7536.621094	-96.320854
7558.154297	-97.385071
7579.687500	-97.808456
7601.220703	-95.600098
7622.753906	-95.678055
7644.287109	-96.569229
7665.820312	-95.418434
7687.353516	-93.992805
7708.886719	-95.033897
7730.419922	-97.128799
7751.953125	-98.132133
7773.486328	-97.036072
7795.019531	-96.590454
7816.552734	-96.798645
7838.085938	-96.555344
7859.619141	-95.604156
7881.152344	-97.341225
7902.685547	-96.994041
7924.218750	-95.130997
7945.751953	-95.447205
7967.285156	-96.250511
7988.818359	-95.681435
8010.351562	-93.713051
8031.884766	-93.376038
8053.417969	-93.746712
8074.951172	-93.095451
8096.484375	-92.691505
8118.017578	-93.281975
8139.550781	-92.971367
8161.083984	-93.340309
8182.617188	-94.224518
8204.150391	-93.316605
8225.683594	-93.665527
8247.216797	-93.395790
8268.750000	-94.029839
8290.283203	-94.615868
8311.816406	-94.725082
8333.349609	-94.678566
8354.882812	-95.314804
8376.416016	-96.046417
8397.949219	-95.263092
8419.482422	-94.935318
8441.015625	-96.110016
8462.548828	-97.048302
8484.082031	-97.318794
8505.615234	-98.008240
8527.148438	-98.983292
8548.681641	-100.489983
8570.214844	-103.500801
8591.748047	-102.744080
8613.281250	-103.981018
8634.814453	-105.526115
8656.347656	-106.062782
8677.880859	-106.336815
8699.414062	-106.156631
8720.947266	-107.194695
8742.480469	-108.758270
8764.013672	-108.921265
8785.546875	-109.248093
8807.080078	-111.000580
8828.613281	-111.214569
8850.146484	-111.408890
8871.679688	-112.177544
8893.212891	-113.443649
8914.746094	-113.743477
8936.279297	-114.827560
8957.812500	-116.139153
8979.345703	-113.939064
9000.878906	-113.721512
9022.412109	-114.002716
9043.945312	-113.563187
9065.478516	-111.115921
9087.011719	-109.894653
9108.544922	-110.138474
9130.078125	-109.432144
9151.611328	-108.867302
9173.144531	-108.774498
9194.677734	-107.941437
9216.210938	-108.530754
9237.744141	-108.600029
9259.277344	-107.468033
9280.810547	-106.605591
9302.343750	-106.556496
9323.876953	-107.936028
9345.410156	-107.554489
9366.943359	-106.971924
9388.476562	-106.610710
9410.009766	-105.069069
9431.542969	-103.957253
9453.076172	-103.354370
9474.609375	-102.838081
9496.142578	-103.506210
9517.675781	-103.704025
9539.208984	-103.472733
9560.742188	-104.295158
9582.275391	-102.961716
9603.808594	-102.075172
9625.341797	-101.225342
9646.875000	-100.119774
9668.408203	-99.381859
9689.941406	-99.778107
9711.474609	-100.700874
9733.007812	-99.982697
9754.541016	-99.660362
9776.074219	-98.893768
9797.607422	-98.955307
9819.140625	-99.590096
9840.673828	-98.487556
9862.207031	-98.967377
9883.740234	-98.696854
9905.273438	-97.790199
9926.806641	-96.672020
9948.339844	-96.592094
9969.873047	-96.822838
9991.406250	-97.346916
10012.939453	-96.949890
10034.472656	-96.824455
10056.005859	-97.184303
10077.539062	-97.849068
10099.072266	-96.204544
10120.605469	-94.794106
10142.138672	-95.476257
10163.671875	-96.500183
10185.205078	-96.158943
10206.738281	-95.300087
10228.271484	-94.916328
10249.804688	-95.673744
10271.337891	-95.902634
10292.871094	-96.020813
10314.404297	-95.414017
10335.937500	-94.309792
10357.470703	-94.874214
10379.003906	-96.948891
10400.537109	-96.842522
10422.070312	-95.331207
10443.603516	-95.299500
10465.136719	-96.847755
10486.669922	-96.601471
10508.203125	-90.210197
10529.736328	-87.172379
10551.269531	-93.698128
10572.802734	-98.851509
10594.335938	-97.622894
10615.869141	-97.525162
10637.402344	-97.590981
10658.935547	-92.334946
10680.468750	-90.554398
10702.001953	-92.214844
10723.535156	-85.524445
10745.068359	-87.956017
10766.601562	-95.748070
10788.134766	-94.938423
10809.667969	-95.154945
10831.201172	-96.046265
10852.734375	-98.528931
10874.267578	-99.729523
10895.800781	-99.701363
10917.333984	-98.747711
10938.867188	-99.347191
10960.400391	-100.239990
10981.933594	-99.578110
11003.466797	-100.260994
11025.000000	-99.414062
11046.533203	-100.439095
11068.066406	-100.093941
11089.599609	-100.391174
11111.132812	-101.825394
11132.666016	-102.666206
11154.199219	-101.693489
11175.732422	-100.262032
11197.265625	-99.577293
11218.798828	-98.347527
11240.332031	-96.447960
11261.865234	-96.842133
11283.398438	-97.147820
11304.931641	-89.614204
11326.464844	-87.168198
11347.998047	-93.401505
11369.531250	-92.474403
11391.064453	-94.843925
11412.597656	-101.964218
11434.130859	-102.013718
11455.664062	-101.244576
11477.197266	-101.202965
11498.730469	-95.640419
11520.263672	-90.098053
11541.796875	-93.753654
11563.330078	-102.424065
11584.863281	-103.599678
11606.396484	-101.387032
11627.929688	-101.349998
11649.462891	-102.338867
11670.996094	-103.581154
11692.529297	-104.865868
11714.062500	-104.589455
11735.595703	-104.546516
11757.128906	-101.850395
11778.662109	-102.321968
11800.195312	-105.094971
11821.728516	-102.774742
11843.261719	-102.943489
11864.794922	-104.292091
11886.328125	-104.380669
11907.861328	-102.906761
11929.394531	-104.117821
11950.927734	-104.441696
11972.460938	-103.218788
11993.994141	-103.430542
12015.527344	-103.146278
12037.060547	-104.532898
12058.593750	-104.179657
12080.126953	-104.294151
12101.660156	-106.151581
12123.193359	-106.403610
12144.726562	-105.619087
12166.259766	-105.937256
12187.792969	-106.574738
12209.326172	-105.471542
12230.859375	-105.560616
12252.392578	-107.137245
12273.925781	-107.515823
12295.458984	-107.898872
12316.992188	-108.039154
12338.525391	-107.261749
12360.058594	-108.230400
12381.591797	-107.737480
12403.125000	-107.965500
12424.658203	-108.828331
12446.191406	-108.999672
12467.724609	-107.626503
12489.257812	-107.101349
12510.791016	-109.136543
12532.324219	-108.063049
12553.857422	-108.339111
12575.390625	-110.029411
12596.923828	-111.086197
12618.457031	-111.890579
12639.990234	-113.889297
12661.523438	-114.259132
12683.056641	-113.742950
12704.589844	-113.677391
12726.123047	-112.835464
12747.656250	-112.590645
12769.189453	-114.834030
12790.722656	-115.255608
12812.255859	-115.592308
12833.789062	-116.829994
12855.322266	-116.133934
12876.855469	-117.851044
12898.388672	-119.393730
12919.921875	-120.314468
12941.455078	-121.219658
12962.988281	-119.417412
12984.521484	-119.011940
13006.054688	-119.577240
13027.587891	-119.061020
13049.121094	-118.364655
13070.654297	-119.215843
13092.187500	-119.044029
13113.720703	-118.181152
13135.253906	-118.998802
13156.787109	-118.832283
13178.320312	-118.673363
13199.853516	-118.674599
13221.386719	-117.961662
13242.919922	-118.762856
13264.453125	-118.783974
13285.986328	-118.386719
13307.519531	-118.580940
13329.052734	-118.479065
13350.585938	-118.908424
13372.119141	-118.955070
13393.652344	-120.056885
13415.185547	-119.615456
13436.718750	-119.528526
13458.251953	-120.943451
13479.785156	-120.927994
13501.318359	-119.041260
13522.851562	-118.757797
13544.384766	-118.188957
13565.917969	-116.309784
13587.451172	-116.676575
13608.984375	-115.098000
13630.517578	-114.510391
13652.050781	-113.151405
13673.583984	-114.090996
13695.117188	-113.792671
13716.650391	-112.682961
13738.183594	-112.197159
13759.716797	-112.317101
13781.250000	-112.407547
13802.783203	-111.523796
13824.316406	-110.821144
13845.849609	-108.404068
13867.382812	-107.549599
13888.916016	-109.478439
13910.449219	-108.686951
13931.982422	-108.202499
13953.515625	-109.274483
13975.048828	-109.116653
13996.582031	-108.048195
14018.115234	-107.641022
14039.648438	-108.295090
14061.181641	-107.589859
14082.714844	-107.857468
14104.248047	-108.199379
14125.781250	-107.051674
14147.314453	-106.924965
14168.847656	-108.633919
14190.380859	-109.848953
14211.914062	-109.548454
14233.447266	-107.418266
14254.980469	-106.180885
14276.513672	-105.630524
14298.046875	-106.118744
14319.580078	-106.968506
14341.113281	-107.338165
14362.646484	-106.207726
14384.179688	-104.431664
14405.712891	-106.098297
14427.246094	-106.092186
14448.779297	-107.808266
14470.312500	-107.117989
14491.845703	-107.025131
14513.378906	-107.301102
14534.912109	-106.598503
14556.445312	-106.956551
14577.978516	-106.937408
14599.511719	-105.454582
14621.044922	-106.351463
14642.578125	-105.521637
14664.111328	-104.600235
14685.644531	-104.580849
14707.177734	-105.126091
14728.710938	-106.329468
14750.244141	-107.083954
14771.777344	-107.838409
14793.310547	-107.741898
14814.843750	-106.146530
14836.376953	-107.063828
14857.910156	-106.428795
14879.443359	-105.421638
14900.976562	-104.983253
14922.509766	-105.374489
14944.042969	-105.946770
14965.576172	-106.022514
14987.109375	-105.654144
15008.642578	-105.403770
15030.175781	-106.242897
15051.708984	-106.793365
15073.242188	-104.587006
15094.775391	-103.922005
15116.308594	-105.304924
15137.841797	-106.765518
15159.375000	-108.307861
15180.908203	-107.102348
15202.441406	-107.991875
15223.974609	-107.979744
15245.507812	-107.170326
15267.041016	-107.029449
15288.574219	-107.138443
15310.107422	-108.338097
15331.640625	-107.811859
15353.173828	-108.369637
15374.707031	-108.295914
15396.240234	-107.027397
15417.773438	-107.450386
15439.306641	-108.595428
15460.839844	-109.214897
15482.373047	-107.806824
15503.906250	-107.616699
15525.439453	-107.926460
15546.972656	-110.237785
15568.505859	-111.084908
15590.039062	-107.450462
15611.572266	-109.245918
15633.105469	-110.190193
15654.638672	-109.831932
15676.171875	-108.928726
15697.705078	-108.890266
15719.238281	-108.128746
15740.771484	-106.910751
15762.304688	-107.914215
15783.837891	-108.248756
15805.371094	-107.707069
15826.904297	-109.101433
15848.437500	-111.224373
15869.970703	-114.312836
15891.503906	-120.549896
15913.037109	-122.084656
15934.570312	-119.786156
15956.103516	-114.684509
15977.636719	-112.019638
15999.169922	-113.483376
16020.703125	-117.866890
16042.236328	-114.557304
16063.769531	-113.016502
16085.302734	-111.803802
16106.835938	-111.462234
16128.369141	-112.679520
16149.902344	-110.959648
16171.435547	-110.167671
16192.968750	-113.251602
16214.501953	-111.887863
16236.035156	-108.658607
16257.568359	-111.115936
16279.101562	-118.648239
16300.634766	-115.639465
16322.167969	-110.084358
16343.701172	-110.301208
