Frequency (Hz)	Level (dB)
21.533203	-46.147728
43.066406	-37.965878
64.599609	-36.222656
86.132812	-38.332958
107.666016	-40.711025
129.199219	-44.996773
150.732422	-45.492920
172.265625	-40.479134
193.798828	-35.802570
215.332031	-36.228775
236.865234	-29.339863
258.398438	-27.990496
279.931641	-26.622803
301.464844	-14.547071
322.998047	-14.972141
344.531250	-23.480665
366.064453	-16.692909
387.597656	-19.997612
409.130859	-35.143936
430.664062	-39.923866
452.197266	-38.418690
473.730469	-22.521339
495.263672	-14.894219
516.796875	-18.793287
538.330078	-36.266159
559.863281	-38.943867
581.396484	-38.284401
602.929688	-36.301399
624.462891	-31.193499
645.996094	-34.505630
667.529297	-42.723366
689.062500	-40.686298
710.595703	-36.863800
732.128906	-25.585382
753.662109	-25.282282
775.195312	-34.394249
796.728516	-43.625626
818.261719	-50.158524
839.794922	-51.778694
861.328125	-50.441845
882.861328	-54.035370
904.394531	-44.811577
925.927734	-30.288570
947.460938	-28.741070
968.994141	-37.659279
990.527344	-38.628387
1012.060547	-39.420868
1033.593750	-48.209866
1055.126953	-47.396671
1076.660156	-49.385971
1098.193359	-43.314365
1119.726562	-40.510105
1141.259766	-46.645432
1162.792969	-53.492374
1184.326172	-53.045273
1205.859375	-51.428066
1227.392578	-42.398579
1248.925781	-34.082790
1270.458984	-36.799911
1291.992188	-51.492420
1313.525391	-59.210491
1335.058594	-56.822155
1356.591797	-55.489868
1378.125000	-56.120899
1399.658203	-56.765694
1421.191406	-56.131557
1442.724609	-57.938709
1464.257812	-43.603912
1485.791016	-36.588406
1507.324219	-37.753933
1528.857422	-45.660149
1550.390625	-43.041111
1571.923828	-37.813339
1593.457031	-41.924316
1614.990234	-55.234081
1636.523438	-58.934414
1658.056641	-64.082870
1679.589844	-66.458618
1701.123047	-64.124069
1722.656250	-56.370567
1744.189453	-47.115978
1765.722656	-44.486267
1787.255859	-50.398216
1808.789062	-60.106144
1830.322266	-53.566528
1851.855469	-47.118519
1873.388672	-45.083897
1894.921875	-48.108143
1916.455078	-54.926113
1937.988281	-61.121769
1959.521484	-62.327641
1981.054688	-59.988651
2002.587891	-47.393875
2024.121094	-42.847588
2045.654297	-49.392780
2067.187500	-64.411484
2088.720703	-71.390739
2110.253906	-71.253510
2131.787109	-71.069992
2153.320312	-70.211082
2174.853516	-65.504356
2196.386719	-55.185101
2217.919922	-50.465549
2239.453125	-47.446247
2260.986328	-47.911297
2282.519531	-55.510670
2304.052734	-62.612389
2325.585938	-64.032677
2347.119141	-65.969231
2368.652344	-68.158134
2390.185547	-69.912437
2411.718750	-73.309380
2433.251953	-74.573792
2454.785156	-69.107330
2476.318359	-69.316376
2497.851562	-67.287598
2519.384766	-63.144550
2540.917969	-54.373405
2562.451172	-54.650871
2583.984375	-61.489086
2605.517578	-69.302452
2627.050781	-62.958504
2648.583984	-59.513710
2670.117188	-63.541740
2691.650391	-70.227760
2713.183594	-69.400894
2734.716797	-72.134766
2756.250000	-77.130211
2777.783203	-75.964523
2799.316406	-65.534538
2820.849609	-64.084946
2842.382812	-71.421844
2863.916016	-65.577271
2885.449219	-61.566357
2906.982422	-67.022926
2928.515625	-73.408676
2950.048828	-76.513657
2971.582031	-78.860939
2993.115234	-72.595757
3014.648438	-66.042137
3036.181641	-57.936169
3057.714844	-55.226479
3079.248047	-58.125267
3100.781250	-63.723701
3122.314453	-71.355576
3143.847656	-72.947197
3165.380859	-71.628891
3186.914062	-74.074707
3208.447266	-72.896744
3229.980469	-75.345436
3251.513672	-76.035454
3273.046875	-74.382782
3294.580078	-74.210518
3316.113281	-72.964310
3337.646484	-68.270012
3359.179688	-64.596138
3380.712891	-68.806313
3402.246094	-72.072952
3423.779297	-72.584915
3445.312500	-75.674355
3466.845703	-77.744011
3488.378906	-79.730125
3509.912109	-80.599640
3531.445312	-78.546898
3552.978516	-75.204666
3574.511719	-72.149757
3596.044922	-72.224014
3617.578125	-70.168823
3639.111328	-68.507683
3660.644531	-71.776436
3682.177734	-74.426552
3703.710938	-79.868134
3725.244141	-81.372322
3746.777344	-79.516357
3768.310547	-76.219780
3789.843750	-74.262268
3811.376953	-78.434517
3832.910156	-70.692039
3854.443359	-66.363289
3875.976562	-67.131340
3897.509766	-67.568939
3919.042969	-67.774055
3940.576172	-70.628105
3962.109375	-73.698898
3983.642578	-76.704323
4005.175781	-78.784805
4026.708984	-81.091583
4048.242188	-79.142174
4069.775391	-76.327034
4091.308594	-78.321564
4112.841797	-77.126488
4134.375000	-79.604355
4155.908203	-80.702744
4177.441406	-78.194122
4198.974609	-76.573860
4220.507812	-75.749207
4242.041016	-79.800682
4263.574219	-76.916016
4285.107422	-74.513954
4306.640625	-76.896484
4328.173828	-80.032715
4349.707031	-81.129272
4371.240234	-84.140694
4392.773438	-86.762100
4414.306641	-87.899246
4435.839844	-86.548241
4457.373047	-82.666664
4478.906250	-80.577347
4500.439453	-77.740234
4521.972656	-79.592087
4543.505859	-83.696388
4565.039062	-86.377136
4586.572266	-88.127090
4608.105469	-89.248596
4629.638672	-89.258347
4651.171875	-90.998047
4672.705078	-89.878105
4694.238281	-85.914581
4715.771484	-82.547989
4737.304688	-84.999863
4758.837891	-92.999710
4780.371094	-96.705635
4801.904297	-97.634384
4823.437500	-94.632919
4844.970703	-91.868385
4866.503906	-89.992386
4888.037109	-89.754677
4909.570312	-84.599548
4931.103516	-79.937943
4952.636719	-79.720573
4974.169922	-84.569931
4995.703125	-86.822350
5017.236328	-85.471169
5038.769531	-80.052498
5060.302734	-81.217873
5081.835938	-81.939537
5103.369141	-81.186264
5124.902344	-83.346268
5146.435547	-81.660110
5167.968750	-76.224930
5189.501953	-76.432541
5211.035156	-80.638649
5232.568359	-80.745193
5254.101562	-80.869690
5275.634766	-79.817932
5297.167969	-81.905800
5318.701172	-83.060852
5340.234375	-81.205078
5361.767578	-82.550354
5383.300781	-83.090889
5404.833984	-80.422890
5426.367188	-80.628990
5447.900391	-78.331757
5469.433594	-78.309151
5490.966797	-82.219070
5512.500000	-78.129890
5534.033203	-79.082275
5555.566406	-75.745506
5577.099609	-70.725357
5598.632812	-65.249512
5620.166016	-67.633163
5641.699219	-70.665192
5663.232422	-73.581764
5684.765625	-71.927696
5706.298828	-73.375481
5727.832031	-77.597305
5749.365234	-75.621658
5770.898438	-74.730637
5792.431641	-80.257477
5813.964844	-80.332108
5835.498047	-75.091202
5857.031250	-74.746918
5878.564453	-77.273949
5900.097656	-78.927193
5921.630859	-77.878632
5943.164062	-78.319252
5964.697266	-81.767448
5986.230469	-76.261742
6007.763672	-77.309570
6029.296875	-78.374947
6050.830078	-78.555824
6072.363281	-78.829514
6093.896484	-77.485916
6115.429688	-76.432869
6136.962891	-76.806107
6158.496094	-78.506241
6180.029297	-79.139366
6201.562500	-78.706299
6223.095703	-82.041534
6244.628906	-77.699989
6266.162109	-77.462257
6287.695312	-78.931488
6309.228516	-77.603844
6330.761719	-77.319374
6352.294922	-77.306381
6373.828125	-76.966698
6395.361328	-75.982262
6416.894531	-76.982796
6438.427734	-80.984985
6459.960938	-77.803215
6481.494141	-76.778229
6503.027344	-77.707596
6524.560547	-74.073486
6546.093750	-71.651611
6567.626953	-77.535194
6589.160156	-74.718170
6610.693359	-76.271858
6632.226562	-76.170135
6653.759766	-77.337784
6675.292969	-81.432030
6696.826172	-75.938026
6718.359375	-76.795280
6739.892578	-76.198616
6761.425781	-75.716331
6782.958984	-75.362076
6804.492188	-76.956779
6826.025391	-80.012688
6847.558594	-78.884743
6869.091797	-76.396400
6890.625000	-78.572014
6912.158203	-79.836922
6933.691406	-78.964767
6955.224609	-81.623283
6976.757812	-80.374405
6998.291016	-81.745300
7019.824219	-81.516914
7041.357422	-77.499657
7062.890625	-76.351715
7084.423828	-80.084808
7105.957031	-79.595978
7127.490234	-78.387428
7149.023438	-81.180260
7170.556641	-83.642235
7192.089844	-83.298790
7213.623047	-80.301682
7235.156250	-81.807114
7256.689453	-83.683823
7278.222656	-85.179367
7299.755859	-86.410561
7321.289062	-87.164246
7342.822266	-89.870834
7364.355469	-87.165909
7385.888672	-87.722885
7407.421875	-87.496986
7428.955078	-85.514412
7450.488281	-87.064110
7472.021484	-86.940514
7493.554688	-84.834251
7515.087891	-86.102173
7536.621094	-86.684525
7558.154297	-86.497604
7579.687500	-85.989555
