Frequency (Hz)	Level (dB)
21.533203	-64.855820
43.066406	-50.494274
64.599609	-45.661896
86.132812	-47.193184
107.666016	-49.601482
129.199219	-52.395355
150.732422	-52.248394
172.265625	-46.957157
193.798828	-39.413643
215.332031	-39.211861
236.865234	-33.418404
258.398438	-25.046583
279.931641	-24.593868
301.464844	-14.631955
322.998047	-14.678420
344.531250	-24.940237
366.064453	-22.550707
387.597656	-25.846260
409.130859	-41.429348
430.664062	-46.731396
452.197266	-51.290379
473.730469	-51.147366
495.263672	-43.623089
516.796875	-32.785713
538.330078	-33.403469
559.863281	-43.697929
581.396484	-47.608665
602.929688	-32.402950
624.462891	-26.220943
645.996094	-31.249891
667.529297	-46.816967
689.062500	-53.686695
710.595703	-47.343399
732.128906	-36.774654
753.662109	-37.358002
775.195312	-34.857449
796.728516	-32.323227
818.261719	-41.915394
839.794922	-61.968334
861.328125	-63.257809
882.861328	-61.233940
904.394531	-48.069160
925.927734	-34.429478
947.460938	-33.163746
968.994141	-43.640514
990.527344	-61.871918
1012.060547	-66.199768
1033.593750	-58.157810
1055.126953	-52.943783
1076.660156	-57.616917
1098.193359	-53.521145
1119.726562	-50.601013
1141.259766	-57.365635
1162.792969	-72.091843
1184.326172	-70.754829
1205.859375	-63.904671
1227.392578	-45.578354
1248.925781	-36.828125
1270.458984	-39.613251
1291.992188	-56.067554
1313.525391	-53.722839
1335.058594	-53.812996
1356.591797	-62.471142
1378.125000	-71.184296
1399.658203	-69.859413
1421.191406	-69.388680
1442.724609	-70.064201
1464.257812	-57.473827
1485.791016	-51.184891
1507.324219	-55.682480
1528.857422	-65.683510
1550.390625	-45.814888
1571.923828	-40.317081
1593.457031	-43.633793
1614.990234	-53.791164
1636.523438	-70.052284
1658.056641	-74.362534
1679.589844	-78.784889
1701.123047	-81.394295
1722.656250	-80.859772
1744.189453	-77.408836
1765.722656	-77.109955
1787.255859	-79.561928
1808.789062	-75.123177
1830.322266	-71.585320
1851.855469	-61.027569
1873.388672	-54.334911
1894.921875	-51.268738
1916.455078	-56.125957
1937.988281	-64.924049
1959.521484	-72.166420
1981.054688	-77.583946
2002.587891	-80.604347
2024.121094	-82.514221
2045.654297	-83.872398
2067.187500	-86.893600
2088.720703	-85.578514
2110.253906	-75.329826
2131.787109	-67.997833
2153.320312	-71.088409
2174.853516	-74.642365
2196.386719	-60.029461
2217.919922	-53.920242
2239.453125	-56.673512
2260.986328	-65.433701
2282.519531	-72.750847
2304.052734	-83.862686
2325.585938	-84.557022
2347.119141	-86.198471
2368.652344	-88.541679
2390.185547	-89.782066
2411.718750	-83.972801
2433.251953	-85.961433
2454.785156	-91.161362
2476.318359	-87.644768
2497.851562	-85.023109
2519.384766	-71.391350
2540.917969	-60.250626
2562.451172	-58.674927
2583.984375	-66.976051
2605.517578	-85.248947
2627.050781	-80.026375
2648.583984	-79.520042
2670.117188	-87.448685
2691.650391	-90.571983
2713.183594	-93.099731
2734.716797	-94.217415
2756.250000	-94.203995
2777.783203	-95.526558
2799.316406	-95.504608
2820.849609	-93.834702
2842.382812	-92.869896
2863.916016	-84.133385
2885.449219	-79.373726
2906.982422	-82.924080
