Frequency (Hz)	Level (dB)
21.533203	-65.873444
43.066406	-52.028400
64.599609	-47.217487
86.132812	-50.944645
107.666016	-53.107773
129.199219	-50.257229
150.732422	-51.770176
172.265625	-51.071754
193.798828	-41.799576
215.332031	-36.948486
236.865234	-33.045723
258.398438	-24.043617
279.931641	-27.124657
301.464844	-30.974113
322.998047	-20.929152
344.531250	-23.215557
366.064453	-31.199566
387.597656	-23.513098
409.130859	-26.880070
430.664062	-42.073460
452.197266	-47.163746
473.730469	-49.306999
495.263672	-41.415527
516.796875	-32.090206
538.330078	-32.799938
559.863281	-42.023838
581.396484	-47.504677
602.929688	-48.215370
624.462891	-49.745808
645.996094	-33.748795
667.529297	-31.120047
689.062500	-40.043488
710.595703	-55.064854
732.128906	-56.970646
753.662109	-50.786556
775.195312	-32.731358
796.728516	-30.184013
818.261719	-39.990444
839.794922	-57.975903
861.328125	-65.710609
882.861328	-69.937424
904.394531	-68.514450
925.927734	-62.914669
947.460938	-61.632172
968.994141	-53.764336
990.527344	-46.745190
1012.060547	-50.269810
1033.593750	-55.482281
1055.126953	-50.720734
1076.660156	-55.795090
1098.193359	-65.466568
1119.726562	-67.698090
1141.259766	-65.518005
1162.792969	-51.088726
1184.326172	-46.092155
1205.859375	-50.895351
1227.392578	-63.085827
1248.925781	-65.456863
1270.458984	-66.319611
1291.992188	-59.658352
1313.525391	-46.465855
1335.058594	-45.290848
1356.591797	-53.543423
1378.125000	-67.108650
1399.658203	-73.655167
1421.191406	-75.590424
1442.724609	-72.917862
1464.257812	-72.552849
1485.791016	-75.403023
1507.324219	-78.598122
1528.857422	-72.462440
1550.390625	-61.731842
1571.923828	-48.655327
1593.457031	-44.088310
1614.990234	-50.813396
1636.523438	-58.140305
1658.056641	-47.717258
1679.589844	-48.613628
1701.123047	-61.334911
1722.656250	-76.037064
1744.189453	-80.543320
1765.722656	-80.935043
1787.255859	-81.516365
1808.789062	-78.494171
1830.322266	-72.010292
1851.855469	-59.076557
1873.388672	-58.693756
1894.921875	-69.831993
1916.455078	-78.297577
1937.988281	-77.066521
1959.521484	-66.599442
1981.054688	-59.694305
2002.587891	-56.442257
2024.121094	-60.967995
2045.654297	-74.207413
2067.187500	-83.011101
2088.720703	-80.532593
2110.253906	-76.144218
2131.787109	-69.983795
2153.320312	-73.253639
2174.853516	-85.765579
2196.386719	-88.303207
2217.919922	-89.544403
2239.453125	-89.847618
2260.986328	-88.667511
2282.519531	-89.640083
2304.052734	-84.503899
2325.585938	-70.539124
2347.119141	-60.935684
2368.652344	-62.142460
2390.185547	-71.683098
2411.718750	-74.552032
2433.251953	-79.804352
2454.785156	-91.910492
2476.318359	-94.681252
2497.851562	-93.603256
2519.384766	-91.589867
2540.917969	-90.881561
2562.451172	-89.653557
2583.984375	-93.575706
2605.517578	-96.179092
2627.050781	-95.149742
2648.583984	-92.567619
2670.117188	-85.297081
2691.650391	-76.959335
2713.183594	-78.151230
2734.716797	-87.455681
2756.250000	-93.599648
2777.783203	-87.339073
