Frequency (Hz)	Level (dB)
21.533203	-65.780640
43.066406	-51.727623
64.599609	-46.362331
86.132812	-47.264206
107.666016	-50.336117
129.199219	-49.083973
150.732422	-46.887131
172.265625	-45.635796
193.798828	-39.427090
215.332031	-36.930634
236.865234	-37.659233
258.398438	-37.181534
279.931641	-20.720793
301.464844	-18.348438
322.998047	-26.455050
344.531250	-18.669298
366.064453	-21.389294
387.597656	-26.862190
409.130859	-18.143593
430.664062	-20.246288
452.197266	-33.914078
473.730469	-43.108334
495.263672	-44.926037
516.796875	-45.210262
538.330078	-44.310135
559.863281	-41.896545
581.396484	-31.750214
602.929688	-33.534012
624.462891	-43.047344
645.996094	-43.546192
667.529297	-36.957050
689.062500	-22.935717
710.595703	-22.151180
732.128906	-33.768951
753.662109	-50.402214
775.195312	-53.402210
796.728516	-49.644218
818.261719	-34.186493
839.794922	-29.655815
861.328125	-36.238277
882.861328	-42.516071
904.394531	-46.667107
925.927734	-53.314846
947.460938	-54.209255
968.994141	-55.737907
990.527344	-56.675697
1012.060547	-56.392982
1033.593750	-40.425098
1055.126953	-35.372662
1076.660156	-41.425091
1098.193359	-60.588554
1119.726562	-63.475639
1141.259766	-58.631664
1162.792969	-45.526939
1184.326172	-41.538456
1205.859375	-48.230801
1227.392578	-43.154518
1248.925781	-34.081940
1270.458984	-35.697708
1291.992188	-48.600761
1313.525391	-60.157444
1335.058594	-65.536453
1356.591797	-63.636349
1378.125000	-49.974842
1399.658203	-40.020363
1421.191406	-41.034882
1442.724609	-51.759533
1464.257812	-45.688110
1485.791016	-40.774902
1507.324219	-46.775734
1528.857422	-60.844566
1550.390625	-62.840141
1571.923828	-68.826698
1593.457031	-68.143944
1614.990234	-62.621857
1636.523438	-51.656776
1658.056641	-39.566433
1679.589844	-33.898964
1701.123047	-38.406948
1722.656250	-53.900810
1744.189453	-45.536983
1765.722656	-38.781143
1787.255859	-41.289787
1808.789062	-52.846252
1830.322266	-64.285484
1851.855469	-69.371986
1873.388672	-70.790497
1894.921875	-69.738693
1916.455078	-70.994812
1937.988281	-66.278770
1959.521484	-66.283249
1981.054688	-69.298935
2002.587891	-67.714638
2024.121094	-64.574287
2045.654297	-67.684547
2067.187500	-56.956532
2088.720703	-47.557709
2110.253906	-42.927402
2131.787109	-45.386044
2153.320312	-53.778198
2174.853516	-68.418449
2196.386719	-71.223457
2217.919922	-74.347672
2239.453125	-79.110207
2260.986328	-76.542877
2282.519531	-76.940613
2304.052734	-74.025467
2325.585938	-72.038383
2347.119141	-77.332436
2368.652344	-69.892006
2390.185547	-61.618504
2411.718750	-61.216694
2433.251953	-68.868690
2454.785156	-73.946053
2476.318359	-63.924599
2497.851562	-58.779163
2519.384766	-59.143181
2540.917969	-58.459148
2562.451172	-58.948273
2583.984375	-66.326797
2605.517578	-75.264961
2627.050781	-81.923882
2648.583984	-82.241951
2670.117188	-82.444107
2691.650391	-75.234596
2713.183594	-69.287941
2734.716797	-70.718750
2756.250000	-74.213318
2777.783203	-80.627296
2799.316406	-84.452255
2820.849609	-84.477196
2842.382812	-74.413101
2863.916016	-64.434456
2885.449219	-61.770245
2906.982422	-67.624313
2928.515625	-78.286880
2950.048828	-71.123207
2971.582031	-60.233608
2993.115234	-59.528736
3014.648438	-68.144737
3036.181641	-76.379921
3057.714844	-81.343643
3079.248047	-86.244164
3100.781250	-85.751984
3122.314453	-81.405731
3143.847656	-84.384819
3165.380859	-88.493401
3186.914062	-87.199776
3208.447266	-89.435448
3229.980469	-85.941162
3251.513672	-81.096283
3273.046875	-80.592896
3294.580078	-82.825279
3316.113281	-81.718506
3337.646484	-78.175629
3359.179688	-75.898094
3380.712891	-74.873497
3402.246094	-62.555767
3423.779297	-55.015675
3445.312500	-58.085758
3466.845703	-70.081917
3488.378906	-77.223541
