Frequency (Hz)	Level (dB)
21.533203	-64.868568
43.066406	-52.301846
64.599609	-46.005383
86.132812	-43.482124
107.666016	-42.925758
129.199219	-47.072155
150.732422	-47.783558
172.265625	-43.666805
193.798828	-36.800900
215.332031	-33.552876
236.865234	-35.526054
258.398438	-35.662724
279.931641	-18.962936
301.464844	-16.656912
322.998047	-25.356934
344.531250	-26.036844
366.064453	-20.476606
387.597656	-23.777014
409.130859	-30.344719
430.664062	-19.939621
452.197266	-20.223799
473.730469	-33.426655
495.263672	-42.150223
516.796875	-46.985470
538.330078	-44.205757
559.863281	-33.595909
581.396484	-24.818008
602.929688	-26.620588
624.462891	-40.434307
645.996094	-41.744057
667.529297	-41.215313
689.062500	-38.999847
710.595703	-35.817318
732.128906	-24.584578
753.662109	-25.355192
775.195312	-39.038864
796.728516	-47.743626
818.261719	-52.009785
839.794922	-50.502304
861.328125	-42.948502
882.861328	-37.587963
904.394531	-40.581837
925.927734	-48.239120
947.460938	-50.369560
968.994141	-56.804295
990.527344	-60.951656
1012.060547	-61.680069
1033.593750	-55.787575
1055.126953	-55.936680
1076.660156	-55.523197
1098.193359	-42.086849
1119.726562	-39.763161
1141.259766	-48.001480
1162.792969	-44.038300
1184.326172	-40.859657
1205.859375	-47.894562
1227.392578	-54.798321
1248.925781	-53.093090
1270.458984	-55.393467
1291.992188	-55.779537
1313.525391	-39.759064
1335.058594	-37.538147
1356.591797	-47.146233
1378.125000	-62.847698
1399.658203	-65.757324
1421.191406	-61.290993
1442.724609	-56.246593
1464.257812	-44.516716
1485.791016	-38.313263
1507.324219	-42.008171
1528.857422	-53.518147
1550.390625	-59.709221
1571.923828	-62.220139
1593.457031	-66.397095
1614.990234	-70.578056
1636.523438	-66.766090
1658.056641	-66.387344
1679.589844	-69.641579
1701.123047	-67.408386
1722.656250	-64.684166
1744.189453	-59.879410
1765.722656	-48.429382
1787.255859	-46.448757
1808.789062	-52.693501
1830.322266	-52.908894
1851.855469	-42.572826
1873.388672	-39.962582
1894.921875	-47.351765
1916.455078	-64.656738
1937.988281	-69.227402
1959.521484	-72.881683
1981.054688	-74.715302
2002.587891	-71.143356
2024.121094	-69.266495
2045.654297	-66.623215
2067.187500	-54.440491
2088.720703	-49.641270
2110.253906	-54.636620
2131.787109	-64.531746
2153.320312	-69.357864
2174.853516	-69.596939
2196.386719	-66.064606
2217.919922	-55.044632
2239.453125	-47.644627
2260.986328	-47.305916
2282.519531	-55.195305
2304.052734	-62.310799
2325.585938	-63.768944
2347.119141	-69.858437
2368.652344	-68.457741
2390.185547	-60.816124
2411.718750	-60.839565
2433.251953	-69.322556
2454.785156	-73.757034
2476.318359	-71.993660
2497.851562	-71.837341
2519.384766	-73.993942
2540.917969	-73.676208
2562.451172	-73.681435
2583.984375	-74.483604
2605.517578	-72.008293
2627.050781	-60.151230
2648.583984	-58.294617
2670.117188	-61.343182
2691.650391	-60.717590
2713.183594	-60.957546
2734.716797	-66.146507
2756.250000	-76.773483
2777.783203	-78.787346
2799.316406	-78.244217
2820.849609	-79.130066
2842.382812	-80.588837
2863.916016	-84.216652
2885.449219	-81.143532
2906.982422	-77.664139
2928.515625	-75.585533
2950.048828	-76.537979
2971.582031	-75.774986
2993.115234	-72.335930
3014.648438	-64.511612
3036.181641	-58.361340
3057.714844	-61.108982
3079.248047	-69.592941
3100.781250	-76.742523
3122.314453	-71.090393
3143.847656	-62.177219
3165.380859	-62.173061
3186.914062	-71.627205
3208.447266	-84.793175
3229.980469	-88.316452
3251.513672	-84.524292
3273.046875	-81.153908
3294.580078	-81.541557
3316.113281	-81.607269
3337.646484	-74.110435
3359.179688	-67.251747
3380.712891	-69.285583
3402.246094	-77.196617
3423.779297	-76.524185
3445.312500	-76.354538
3466.845703	-81.296989
3488.378906	-81.960762
3509.912109	-80.654236
3531.445312	-83.896370
3552.978516	-87.025627
3574.511719	-84.806480
3596.044922	-77.869514
3617.578125	-67.842476
3639.111328	-66.396484
3660.644531	-69.872414
3682.177734	-63.300655
3703.710938	-63.473454
3725.244141	-73.311134
3746.777344	-82.566719
3768.310547	-85.547104
3789.843750	-86.681145
3811.376953	-86.986855
3832.910156	-81.194534
3854.443359	-75.075447
3875.976562	-74.201546
3897.509766	-79.185585
3919.042969	-88.542938
3940.576172	-90.953156
3962.109375	-89.297127
3983.642578	-83.654648
