Frequency (Hz)	Level (dB)
21.533203	-66.287331
43.066406	-52.309898
64.599609	-47.101521
86.132812	-47.775719
107.666016	-47.387211
129.199219	-44.035057
150.732422	-31.244291
172.265625	-20.338888
193.798828	-12.684813
215.332031	-15.627609
236.865234	-21.151770
258.398438	-28.806044
279.931641	-35.126427
301.464844	-26.991081
322.998047	-18.020424
344.531250	-20.281420
366.064453	-26.663702
387.597656	-16.842926
409.130859	-18.201691
430.664062	-28.413036
452.197266	-20.105576
473.730469	-16.527359
495.263672	-21.718370
516.796875	-29.940987
538.330078	-45.879391
559.863281	-41.988956
581.396484	-30.803782
602.929688	-30.270857
624.462891	-41.833977
645.996094	-29.028191
667.529297	-26.615438
689.062500	-27.352770
710.595703	-25.149347
732.128906	-34.560337
753.662109	-48.916306
775.195312	-47.724968
796.728516	-42.076958
818.261719	-34.686054
839.794922	-35.810116
861.328125	-50.168636
882.861328	-55.680931
904.394531	-53.182041
925.927734	-35.610977
947.460938	-32.472027
968.994141	-40.502419
990.527344	-42.062286
1012.060547	-46.213287
1033.593750	-61.733654
1055.126953	-60.611263
1076.660156	-60.859703
1098.193359	-62.353897
1119.726562	-59.585144
1141.259766	-46.662476
1162.792969	-37.413658
1184.326172	-36.245499
1205.859375	-44.720684
1227.392578	-57.074989
1248.925781	-60.594234
1270.458984	-62.624100
1291.992188	-61.216125
1313.525391	-45.509411
1335.058594	-42.770542
1356.591797	-50.170258
1378.125000	-39.552101
1399.658203	-36.086380
1421.191406	-39.771996
1442.724609	-47.952000
1464.257812	-55.480568
1485.791016	-41.340725
1507.324219	-40.661018
1528.857422	-53.159496
1550.390625	-60.972614
1571.923828	-39.203514
1593.457031	-31.124361
1614.990234	-34.746262
1636.523438	-47.146233
1658.056641	-43.550896
1679.589844	-47.201370
1701.123047	-56.494888
1722.656250	-62.908066
1744.189453	-68.991028
1765.722656	-68.804443
1787.255859	-66.284653
1808.789062	-61.197239
1830.322266	-52.667152
1851.855469	-54.569561
1873.388672	-47.135925
1894.921875	-39.036190
1916.455078	-41.125034
1937.988281	-55.562550
1959.521484	-63.469761
1981.054688	-54.682529
2002.587891	-45.065182
2024.121094	-47.488430
2045.654297	-63.362873
2067.187500	-62.540714
2088.720703	-66.528618
2110.253906	-70.043350
2131.787109	-66.631317
2153.320312	-63.203541
2174.853516	-61.565441
2196.386719	-61.919697
2217.919922	-59.120869
2239.453125	-63.336689
2260.986328	-71.184677
2282.519531	-68.843208
2304.052734	-69.046318
2325.585938	-54.742970
2347.119141	-45.215645
2368.652344	-46.201973
2390.185547	-47.910744
2411.718750	-51.969528
2433.251953	-54.247753
2454.785156	-63.021423
2476.318359	-71.191536
2497.851562	-64.549515
2519.384766	-54.577648
2540.917969	-56.196827
2562.451172	-71.602852
2583.984375	-74.099892
2605.517578	-68.196396
2627.050781	-54.825272
2648.583984	-52.547688
2670.117188	-61.622486
2691.650391	-59.078835
2713.183594	-59.296696
2734.716797	-71.396584
2756.250000	-81.511536
2777.783203	-86.260719
2799.316406	-84.711731
2820.849609	-79.246811
2842.382812	-70.612740
2863.916016	-62.738472
