Frequency (Hz)	Level (dB)
21.533203	-42.171886
43.066406	-43.321049
64.599609	-41.042374
86.132812	-40.719002
107.666016	-41.692348
129.199219	-45.834068
150.732422	-33.157295
172.265625	-26.784235
193.798828	-18.242144
215.332031	-16.035328
236.865234	-20.756227
258.398438	-22.854090
279.931641	-29.989094
301.464844	-26.909901
322.998047	-20.701670
344.531250	-23.160664
366.064453	-36.462486
387.597656	-25.585131
409.130859	-14.529294
430.664062	-14.940475
452.197266	-28.016262
473.730469	-22.400969
495.263672	-14.551813
516.796875	-18.678564
538.330078	-35.723881
559.863281	-38.272804
581.396484	-43.253613
602.929688	-41.352333
624.462891	-36.602741
645.996094	-30.687092
667.529297	-28.990591
689.062500	-37.716934
710.595703	-44.838215
732.128906	-31.416000
753.662109	-27.765713
775.195312	-35.303192
796.728516	-45.274101
818.261719	-35.850262
839.794922	-33.125568
861.328125	-39.617661
882.861328	-55.154346
904.394531	-58.245449
925.927734	-57.953793
947.460938	-56.870216
968.994141	-48.434029
990.527344	-37.057194
1012.060547	-37.841343
1033.593750	-37.571041
1055.126953	-34.107544
1076.660156	-41.450130
1098.193359	-54.632351
1119.726562	-53.750202
1141.259766	-53.644032
1162.792969	-50.274582
1184.326172	-52.953026
1205.859375	-58.876335
1227.392578	-53.676983
1248.925781	-42.066891
1270.458984	-40.371845
1291.992188	-48.133118
1313.525391	-49.560349
1335.058594	-47.396049
1356.591797	-56.077126
1378.125000	-59.330738
1399.658203	-61.509052
1421.191406	-61.752319
1442.724609	-49.987335
1464.257812	-35.324673
1485.791016	-31.268515
1507.324219	-31.686348
1528.857422	-39.008717
1550.390625	-55.352814
1571.923828	-59.295712
1593.457031	-57.640076
1614.990234	-56.008770
1636.523438	-54.619141
1658.056641	-47.949192
1679.589844	-39.715004
1701.123047	-37.973293
1722.656250	-46.627766
1744.189453	-48.413212
1765.722656	-46.080002
1787.255859	-53.310738
1808.789062	-58.817104
1830.322266	-52.843346
1851.855469	-55.381191
1873.388672	-67.508774
1894.921875	-63.587883
1916.455078	-59.904140
1937.988281	-61.795799
1959.521484	-63.051971
1981.054688	-53.751873
2002.587891	-42.653717
2024.121094	-41.165047
2045.654297	-49.691856
2067.187500	-62.654453
2088.720703	-62.869167
2110.253906	-51.364815
2131.787109	-45.906376
2153.320312	-51.475098
2174.853516	-65.158630
2196.386719	-66.492050
2217.919922	-70.662903
2239.453125	-72.410599
2260.986328	-72.410599
2282.519531	-70.448982
2304.052734	-70.785767
2325.585938	-60.414158
2347.119141	-51.553860
2368.652344	-53.786240
2390.185547	-67.441154
2411.718750	-73.890587
2433.251953	-73.658089
2454.785156	-69.413994
2476.318359	-67.695328
2497.851562	-64.588264
2519.384766	-58.483974
2540.917969	-56.699871
2562.451172	-59.239887
2583.984375	-61.343102
2605.517578	-68.464851
2627.050781	-71.900970
2648.583984	-75.451759
2670.117188	-73.763977
2691.650391	-65.097504
2713.183594	-65.208267
2734.716797	-73.530914
2756.250000	-76.116989
2777.783203	-68.631096
2799.316406	-58.584122
2820.849609	-58.937172
2842.382812	-70.515617
2863.916016	-73.164917
2885.449219	-73.870697
2906.982422	-80.502754
2928.515625	-81.468994
2950.048828	-79.571136
2971.582031	-82.327789
2993.115234	-73.162140
3014.648438	-68.237312
3036.181641	-65.518364
3057.714844	-60.543568
3079.248047	-55.668613
3100.781250	-59.324680
3122.314453	-70.880676
3143.847656	-74.917564
3165.380859	-74.673080
3186.914062	-73.496468
3208.447266	-75.882568
3229.980469	-69.296555
3251.513672	-67.736359
3273.046875	-67.809013
3294.580078	-74.306244
3316.113281	-76.595215
3337.646484	-70.029182
3359.179688	-67.246773
3380.712891	-71.176743
3402.246094	-71.945656
3423.779297	-75.723770
3445.312500	-79.771034
3466.845703	-76.867584
3488.378906	-65.564369
3509.912109	-60.673038
3531.445312	-63.707600
3552.978516	-66.838760
3574.511719	-73.191528
3596.044922	-70.252777
3617.578125	-67.136955
3639.111328	-65.484550
3660.644531	-71.952560
3682.177734	-76.232239
3703.710938	-76.668259
3725.244141	-62.178421
3746.777344	-57.631046
3768.310547	-64.150276
3789.843750	-70.042160
3811.376953	-75.497215
3832.910156	-80.146011
3854.443359	-80.092316
3875.976562	-69.439545
3897.509766	-65.080338
3919.042969	-65.709816
3940.576172	-65.394104
3962.109375	-66.995079
3983.642578	-69.696190
4005.175781	-71.491699
4026.708984	-75.006981
4048.242188	-79.862518
4069.775391	-82.261490
4091.308594	-82.774902
4112.841797	-83.707039
4134.375000	-84.641518
4155.908203	-82.534882
4177.441406	-78.187057
4198.974609	-69.661087
4220.507812	-68.487381
4242.041016	-76.378441
4263.574219	-82.476425
4285.107422	-85.068268
4306.640625	-86.476357
4328.173828	-87.899940
4349.707031	-88.595673
4371.240234	-87.368629
4392.773438	-88.927330
4414.306641	-90.537910
4435.839844	-91.621056
4457.373047	-92.310799
4478.906250	-83.972748
4500.439453	-81.211052
4521.972656	-84.635307
4543.505859	-94.593674
4565.039062	-99.763901
4586.572266	-107.135475
4608.105469	-107.396011
4629.638672	-105.149376
4651.171875	-105.359116
4672.705078	-107.963898
4694.238281	-100.916580
4715.771484	-92.028885
4737.304688	-86.680092
4758.837891	-89.519310
4780.371094	-100.014481
4801.904297	-103.917892
4823.437500	-103.532799
4844.970703	-101.002075
4866.503906	-98.992447
4888.037109	-99.615715
4909.570312	-99.932144
4931.103516	-99.037720
4952.636719	-98.219696
4974.169922	-90.122375
4995.703125	-83.364624
5017.236328	-85.758347
5038.769531	-95.053383
5060.302734	-93.527481
5081.835938	-83.821793
5103.369141	-81.158531
5124.902344	-87.543800
5146.435547	-95.746651
5167.968750	-94.299950
5189.501953	-94.903915
5211.035156	-91.320099
5232.568359	-88.608940
5254.101562	-86.036827
5275.634766	-85.573875
5297.167969	-83.225151
5318.701172	-86.584702
5340.234375	-87.200600
5361.767578	-86.499886
5383.300781	-85.607422
5404.833984	-81.936096
5426.367188	-84.682091
5447.900391	-91.412575
5469.433594	-88.375435
5490.966797	-86.665771
5512.500000	-74.793159
5534.033203	-71.101852
5555.566406	-77.782700
5577.099609	-88.289238
5598.632812	-90.457222
5620.166016	-93.388557
5641.699219	-93.198700
5663.232422	-91.376366
5684.765625	-87.179779
5706.298828	-78.305786
5727.832031	-76.044510
5749.365234	-82.136887
5770.898438	-91.080429
5792.431641	-84.633064
5813.964844	-84.684212
5835.498047	-90.308594
5857.031250	-91.290665
5878.564453	-92.454979
5900.097656	-89.444382
5921.630859	-89.866035
5943.164062	-88.874977
5964.697266	-90.210411
5986.230469	-90.256111
6007.763672	-87.215347
6029.296875	-77.917847
6050.830078	-75.549644
6072.363281	-79.372276
6093.896484	-82.504723
6115.429688	-90.450508
6136.962891	-88.977127
6158.496094	-87.640739
6180.029297	-89.312271
6201.562500	-90.174965
6223.095703	-91.218582
6244.628906	-89.712158
6266.162109	-87.760124
6287.695312	-87.864975
6309.228516	-88.017693
6330.761719	-91.077324
6352.294922	-89.711250
6373.828125	-86.902504
6395.361328	-88.576721
6416.894531	-92.824898
6438.427734	-94.045792
6459.960938	-93.015587
6481.494141	-91.865654
6503.027344	-89.421745
6524.560547	-87.930176
6546.093750	-87.667938
6567.626953	-87.843864
6589.160156	-89.762413
6610.693359	-90.855568
6632.226562	-92.070145
6653.759766	-92.638748
6675.292969	-91.654160
6696.826172	-87.900780
6718.359375	-89.070259
6739.892578	-93.991394
6761.425781	-94.342560
6782.958984	-93.974792
6804.492188	-93.786026
6826.025391	-91.698662
6847.558594	-90.726952
6869.091797	-91.446243
6890.625000	-90.232796
6912.158203	-90.537926
6933.691406	-90.043022
6955.224609	-93.269936
6976.757812	-95.929840
6998.291016	-91.213760
7019.824219	-85.041832
7041.357422	-83.429245
7062.890625	-87.872009
7084.423828	-95.885704
7105.957031	-94.579247
7127.490234	-93.440239
7149.023438	-97.302734
7170.556641	-99.140869
7192.089844	-98.607391
7213.623047	-97.049500
7235.156250	-95.209038
7256.689453	-97.312859
7278.222656	-99.761894
7299.755859	-99.590553
7321.289062	-100.305061
7342.822266	-101.360374
7364.355469	-100.041183
7385.888672	-98.673927
7407.421875	-98.417168
7428.955078	-98.722969
7450.488281	-100.197647
7472.021484	-102.750130
7493.554688	-101.450760
7515.087891	-100.712433
7536.621094	-97.684113
7558.154297	-97.170395
7579.687500	-98.223518
7601.220703	-99.094879
7622.753906	-101.051018
7644.287109	-101.816071
7665.820312	-101.986740
7687.353516	-101.478920
7708.886719	-100.987190
7730.419922	-100.546089
7751.953125	-101.322617
7773.486328	-100.861702
7795.019531	-101.765907
7816.552734	-99.147003
7838.085938	-94.409988
7859.619141	-95.679237
7881.152344	-100.597656
7902.685547	-102.359215
7924.218750	-101.069756
7945.751953	-100.230583
7967.285156	-99.053787
7988.818359	-101.650757
8010.351562	-101.772530
8031.884766	-102.164726
8053.417969	-102.274437
8074.951172	-99.630844
8096.484375	-98.649940
8118.017578	-99.166451
8139.550781	-99.447708
8161.083984	-98.005638
8182.617188	-98.703575
8204.150391	-100.910378
8225.683594	-101.587509
8247.216797	-102.616493
8268.750000	-103.984055
8290.283203	-103.193619
8311.816406	-103.224022
8333.349609	-102.763924
8354.882812	-103.252182
8376.416016	-104.746513
8397.949219	-104.012413
8419.482422	-103.074379
8441.015625	-101.788315
8462.548828	-101.378288
8484.082031	-103.110367
8505.615234	-104.050606
8527.148438	-102.901459
8548.681641	-104.216248
8570.214844	-108.027084
8591.748047	-108.860359
8613.281250	-109.414841
8634.814453	-109.173248
8656.347656	-109.875313
8677.880859	-109.595062
8699.414062	-111.210251
8720.947266	-111.299911
8742.480469	-110.937019
8764.013672	-111.810760
8785.546875	-113.423485
8807.080078	-114.204933
8828.613281	-114.946014
8850.146484	-115.948692
8871.679688	-118.611336
8893.212891	-119.753433
8914.746094	-118.712090
8936.279297	-118.215492
8957.812500	-118.702866
8979.345703	-118.261803
9000.878906	-117.693192
9022.412109	-116.677040
9043.945312	-116.237877
9065.478516	-113.730774
9087.011719	-113.051750
9108.544922	-115.321457
9130.078125	-114.640572
9151.611328	-114.202873
9173.144531	-114.430428
9194.677734	-113.151909
9216.210938	-111.182335
9237.744141	-109.662735
9259.277344	-109.079277
9280.810547	-107.968758
9302.343750	-108.979797
9323.876953	-107.978256
9345.410156	-105.702194
9366.943359	-103.878769
9388.476562	-102.695572
9410.009766	-102.381760
9431.542969	-101.649475
9453.076172	-100.721680
9474.609375	-100.230949
9496.142578	-100.207596
9517.675781	-100.416786
9539.208984	-100.530426
9560.742188	-100.440437
9582.275391	-100.235092
9603.808594	-99.753166
9625.341797	-99.309364
9646.875000	-99.147949
9668.408203	-99.160889
9689.941406	-99.683693
9711.474609	-100.375717
9733.007812	-101.458298
9754.541016	-101.099709
9776.074219	-100.455948
9797.607422	-100.047134
9819.140625	-99.671425
9840.673828	-99.753120
9862.207031	-99.972458
