Frequency (Hz)	Level (dB)
21.533203	-63.845512
43.066406	-50.606674
64.599609	-45.165493
86.132812	-44.895077
107.666016	-46.449081
129.199219	-50.618813
150.732422	-51.117313
172.265625	-47.153057
193.798828	-42.152588
215.332031	-40.154541
236.865234	-43.944641
258.398438	-48.718540
279.931641	-49.328064
301.464844	-45.732201
322.998047	-40.903923
344.531250	-36.930779
366.064453	-35.025204
387.597656	-34.312099
409.130859	-37.192390
430.664062	-42.418625
452.197266	-42.247444
473.730469	-49.246094
495.263672	-48.815224
516.796875	-42.050724
538.330078	-40.871758
559.863281	-42.131279
581.396484	-39.383366
602.929688	-35.588959
624.462891	-33.843796
645.996094	-32.578945
667.529297	-29.616924
689.062500	-21.567131
710.595703	-22.176132
732.128906	-34.006565
753.662109	-41.029373
775.195312	-40.366398
796.728516	-39.192142
818.261719	-24.593742
839.794922	-19.331770
861.328125	-24.384706
882.861328	-32.883347
904.394531	-36.909489
925.927734	-37.213345
947.460938	-32.340328
968.994141	-27.765965
990.527344	-24.000690
1012.060547	-27.835232
1033.593750	-39.500660
1055.126953	-41.612709
1076.660156	-41.969303
1098.193359	-46.023037
1119.726562	-52.322941
1141.259766	-56.218525
1162.792969	-60.818756
1184.326172	-59.384510
1205.859375	-55.862083
1227.392578	-52.227554
1248.925781	-48.213673
1270.458984	-46.457817
1291.992188	-48.650936
1313.525391	-53.988197
1335.058594	-58.026588
1356.591797	-54.790241
1378.125000	-45.444645
1399.658203	-39.569996
1421.191406	-43.421482
1442.724609	-53.169285
1464.257812	-53.603077
1485.791016	-52.969021
1507.324219	-55.459312
1528.857422	-56.172356
1550.390625	-56.232464
1571.923828	-59.500530
1593.457031	-62.684612
1614.990234	-58.981876
1636.523438	-55.253544
1658.056641	-41.687744
1679.589844	-34.132305
1701.123047	-37.177498
1722.656250	-50.500103
1744.189453	-53.580593
1765.722656	-58.262215
1787.255859	-61.235104
1808.789062	-63.091248
1830.322266	-65.666718
1851.855469	-57.789436
1873.388672	-57.241039
1894.921875	-59.261425
1916.455078	-57.909893
1937.988281	-59.076199
1959.521484	-46.847038
1981.054688	-38.246407
2002.587891	-40.008945
2024.121094	-48.647522
2045.654297	-52.460903
2067.187500	-54.165058
2088.720703	-47.310608
2110.253906	-43.083984
2131.787109	-47.449322
2153.320312	-59.930904
2174.853516	-65.240105
2196.386719	-69.844261
2217.919922	-74.078468
2239.453125	-68.437286
2260.986328	-69.630676
2282.519531	-72.198639
2304.052734	-69.826332
2325.585938	-67.933853
2347.119141	-65.071075
2368.652344	-65.694344
2390.185547	-69.821075
2411.718750	-72.434845
2433.251953	-73.207489
2454.785156	-67.026741
2476.318359	-66.450363
2497.851562	-61.329693
2519.384766	-55.232212
2540.917969	-54.419193
2562.451172	-61.838238
2583.984375	-69.152321
2605.517578	-73.142433
2627.050781	-78.359634
2648.583984	-75.601944
2670.117188	-71.167908
2691.650391	-69.255417
2713.183594	-70.903969
2734.716797	-72.988594
2756.250000	-69.746101
2777.783203	-65.992310
2799.316406	-57.701778
2820.849609	-51.416904
2842.382812	-53.265808
2863.916016	-64.131165
2885.449219	-71.900078
2906.982422	-76.130013
2928.515625	-74.043617
