Frequency (Hz)	Level (dB)
21.533203	-63.728027
43.066406	-50.366528
64.599609	-45.177330
86.132812	-45.725388
107.666016	-47.377373
129.199219	-49.496819
150.732422	-48.438957
172.265625	-43.930412
193.798828	-39.803158
215.332031	-41.864201
236.865234	-41.455849
258.398438	-43.492817
279.931641	-42.488533
301.464844	-44.379002
322.998047	-44.439793
344.531250	-41.224388
366.064453	-38.860855
387.597656	-39.710800
409.130859	-43.513565
430.664062	-46.868660
452.197266	-49.093395
473.730469	-44.381794
495.263672	-38.340679
516.796875	-39.141869
538.330078	-46.425468
559.863281	-43.187199
581.396484	-41.452095
602.929688	-44.291412
624.462891	-41.026302
645.996094	-41.488125
667.529297	-33.122025
689.062500	-22.190828
710.595703	-22.320301
732.128906	-29.758759
753.662109	-33.184723
775.195312	-34.324963
796.728516	-39.568275
818.261719	-41.137882
839.794922	-34.321518
861.328125	-23.098724
882.861328	-19.872358
904.394531	-27.042467
925.927734	-36.844059
947.460938	-35.891182
968.994141	-37.950634
990.527344	-38.031033
1012.060547	-34.497093
1033.593750	-23.337278
1055.126953	-20.734707
1076.660156	-28.588415
1098.193359	-39.535557
1119.726562	-48.437790
1141.259766	-50.716995
1162.792969	-51.743279
1184.326172	-50.966076
1205.859375	-50.059669
1227.392578	-46.318607
1248.925781	-45.319073
1270.458984	-47.606609
1291.992188	-53.469185
1313.525391	-60.744377
1335.058594	-59.898331
1356.591797	-55.969681
1378.125000	-43.320438
1399.658203	-38.204792
1421.191406	-42.704250
1442.724609	-54.206509
1464.257812	-60.525517
1485.791016	-58.508530
1507.324219	-58.070763
1528.857422	-59.221645
1550.390625	-57.360981
1571.923828	-56.840961
1593.457031	-56.646397
1614.990234	-54.035145
1636.523438	-52.932720
1658.056641	-53.785583
1679.589844	-52.026215
1701.123047	-49.948769
1722.656250	-45.906200
1744.189453	-43.122395
1765.722656	-39.555130
1787.255859	-45.105888
1808.789062	-58.059246
1830.322266	-64.298157
1851.855469	-64.648285
1873.388672	-62.191734
1894.921875	-58.365013
1916.455078	-58.873585
1937.988281	-65.956985
1959.521484	-63.550503
1981.054688	-62.005196
2002.587891	-64.660942
2024.121094	-67.441475
2045.654297	-58.257347
2067.187500	-50.803944
2088.720703	-39.395821
2110.253906	-36.536060
2131.787109	-42.112885
2153.320312	-55.624504
2174.853516	-69.260277
2196.386719	-71.675133
2217.919922	-68.103226
2239.453125	-67.513969
2260.986328	-66.866325
2282.519531	-68.422836
2304.052734	-72.778984
2325.585938	-70.174339
2347.119141	-67.733444
2368.652344	-71.463272
2390.185547	-74.208298
2411.718750	-71.983223
2433.251953	-68.447838
2454.785156	-64.182678
2476.318359	-62.702637
2497.851562	-67.317497
2519.384766	-75.362381
2540.917969	-77.434555
2562.451172	-76.093063
2583.984375	-70.762268
2605.517578	-67.593933
2627.050781	-58.832321
2648.583984	-51.041512
2670.117188	-50.640831
2691.650391	-57.560638
2713.183594	-67.769005
2734.716797	-71.699486
2756.250000	-71.593048
2777.783203	-66.963745
2799.316406	-59.571308
2820.849609	-52.577591
2842.382812	-53.740902
2863.916016	-65.487701
2885.449219	-71.242462
2906.982422	-72.098297
2928.515625	-74.277153
2950.048828	-76.980232
2971.582031	-77.069534
2993.115234	-76.166397
3014.648438	-76.700539
3036.181641	-74.860390
3057.714844	-73.148087
3079.248047	-74.067360
3100.781250	-72.482986
3122.314453	-67.573074
3143.847656	-58.609238
3165.380859	-53.537319
3186.914062	-57.320580
3208.447266	-64.776619
3229.980469	-71.247398
3251.513672	-76.590225
3273.046875	-75.962303
3294.580078	-81.247017
3316.113281	-80.242012
3337.646484	-78.682159
3359.179688	-77.227341
3380.712891	-78.621338
3402.246094	-83.483589
3423.779297	-83.544662
3445.312500	-83.014809
3466.845703	-80.212669
3488.378906	-74.628944
3509.912109	-71.243141
3531.445312	-61.753223
3552.978516	-54.021938
3574.511719	-53.512917
3596.044922	-62.219788
3617.578125	-70.763390
3639.111328	-72.717430
3660.644531	-73.507744
3682.177734	-78.934059
3703.710938	-81.922020
3725.244141	-84.454590
3746.777344	-85.102066
3768.310547	-81.152229
3789.843750	-77.298988
3811.376953	-78.578392
3832.910156	-83.528809
3854.443359	-78.447044
3875.976562	-78.184212
3897.509766	-83.897568
3919.042969	-88.755493
3940.576172	-87.804634
3962.109375	-85.185524
3983.642578	-82.649887
4005.175781	-84.636780
4026.708984	-86.390251
4048.242188	-83.719604
4069.775391	-83.237709
4091.308594	-87.429451
4112.841797	-88.820778
4134.375000	-86.097206
4155.908203	-85.330788
4177.441406	-83.885513
4198.974609	-82.862297
4220.507812	-77.633591
4242.041016	-67.460045
4263.574219	-66.018021
4285.107422	-70.249390
4306.640625	-71.563438
4328.173828	-77.618935
4349.707031	-87.023766
4371.240234	-90.902000
4392.773438	-89.575172
4414.306641	-93.387344
4435.839844	-98.758064
4457.373047	-91.043106
4478.906250	-84.184135
4500.439453	-82.890327
4521.972656	-85.841812
4543.505859	-91.256813
4565.039062	-96.856377
4586.572266	-103.381676
4608.105469	-102.240211
4629.638672	-103.707588
4651.171875	-110.037216
4672.705078	-108.832848
4694.238281	-108.832237
4715.771484	-108.792549
4737.304688	-106.059921
4758.837891	-103.677414
4780.371094	-102.312698
4801.904297	-103.447197
4823.437500	-101.549332
4844.970703	-102.907333
4866.503906	-101.585091
4888.037109	-97.741051
4909.570312	-96.035530
4931.103516	-96.466965
4952.636719	-94.472954
4974.169922	-94.786186
4995.703125	-88.799652
5017.236328	-77.024040
5038.769531	-75.282936
5060.302734	-77.191734
5081.835938	-84.488091
5103.369141	-97.967911
5124.902344	-90.560364
5146.435547	-85.821976
5167.968750	-86.941864
5189.501953	-90.787415
5211.035156	-85.678673
5232.568359	-84.546219
5254.101562	-86.820961
5275.634766	-88.094658
5297.167969	-86.944702
5318.701172	-87.350227
5340.234375	-76.511063
