Frequency (Hz)	Level (dB)
21.533203	-65.519470
43.066406	-53.294762
64.599609	-48.274433
86.132812	-47.408825
107.666016	-48.681175
129.199219	-52.566628
150.732422	-53.439983
172.265625	-50.447132
193.798828	-46.950485
215.332031	-44.022045
236.865234	-47.154148
258.398438	-52.221588
279.931641	-52.965534
301.464844	-44.996979
322.998047	-42.711735
344.531250	-40.860748
366.064453	-31.508732
387.597656	-23.182648
409.130859	-26.230595
430.664062	-39.309731
452.197266	-24.480072
473.730469	-21.284767
495.263672	-29.869846
516.796875	-41.547146
538.330078	-29.225340
559.863281	-25.475988
581.396484	-32.510368
602.929688	-44.957600
624.462891	-52.739647
645.996094	-53.297977
667.529297	-51.009178
689.062500	-51.195911
710.595703	-52.205307
732.128906	-56.157997
753.662109	-49.677593
775.195312	-40.909771
796.728516	-42.179752
818.261719	-54.187107
839.794922	-63.553505
861.328125	-63.042629
882.861328	-59.668987
904.394531	-51.399334
925.927734	-37.560200
947.460938	-36.977859
968.994141	-48.314354
990.527344	-59.808491
1012.060547	-69.349884
1033.593750	-67.946892
1055.126953	-63.888889
1076.660156	-61.177898
1098.193359	-52.137001
1119.726562	-48.421879
1141.259766	-56.145283
1162.792969	-56.380878
1184.326172	-54.285152
1205.859375	-61.139263
1227.392578	-67.458931
1248.925781	-67.937103
1270.458984	-69.852638
1291.992188	-73.192329
1313.525391	-73.496071
1335.058594	-72.263100
1356.591797	-73.033516
1378.125000	-67.812370
1399.658203	-55.403374
1421.191406	-54.528122
1442.724609	-65.168182
1464.257812	-73.176971
1485.791016	-73.793709
1507.324219	-71.959061
1528.857422	-69.838142
1550.390625	-63.816898
1571.923828	-55.807541
1593.457031	-54.624287
1614.990234	-63.662594
1636.523438	-73.671623
1658.056641	-61.037701
1679.589844	-58.554249
1701.123047	-66.251259
1722.656250	-73.236992
1744.189453	-78.040634
1765.722656	-78.975578
1787.255859	-82.425186
1808.789062	-79.588921
1830.322266	-79.271667
1851.855469	-71.835121
1873.388672	-55.577347
1894.921875	-53.764061
1916.455078	-63.820152
1937.988281	-73.909866
1959.521484	-60.534531
1981.054688	-56.465622
2002.587891	-59.447334
2024.121094	-71.255333
2045.654297	-80.228271
2067.187500	-84.874817
2088.720703	-89.772667
2110.253906	-88.971237
2131.787109	-89.826553
2153.320312	-88.801018
2174.853516	-88.735779
2196.386719	-87.318588
2217.919922	-76.009399
2239.453125	-66.360695
2260.986328	-68.101707
2282.519531	-81.186134
2304.052734	-84.785782
2325.585938	-83.065849
2347.119141	-75.169357
2368.652344	-68.267365
2390.185547	-66.960838
2411.718750	-69.110428
2433.251953	-78.353668
2454.785156	-88.566628
2476.318359	-91.993240
2497.851562	-93.732864
2519.384766	-95.556160
2540.917969	-95.444786
2562.451172	-93.102180
2583.984375	-92.415215
2605.517578	-96.298363
2627.050781	-95.455978
2648.583984	-94.502563
2670.117188	-92.584625
2691.650391	-93.250885
2713.183594	-94.310539
2734.716797	-93.508400
2756.250000	-89.413170
2777.783203	-79.540733
2799.316406	-75.319099
2820.849609	-76.184372
2842.382812	-76.035286
2863.916016	-74.958023
2885.449219	-85.361122
2906.982422	-95.083893
2928.515625	-98.643303
2950.048828	-98.941078
2971.582031	-97.804855
2993.115234	-97.541733
3014.648438	-98.063591
3036.181641	-98.003410
3057.714844	-97.199692
3079.248047	-96.349602
3100.781250	-95.843254
3122.314453	-96.460052
3143.847656	-97.539436
3165.380859	-95.194611
3186.914062	-82.320328
3208.447266	-75.487381
3229.980469	-74.035606
3251.513672	-76.275154
3273.046875	-87.338043
3294.580078	-91.749313
3316.113281	-93.300499
3337.646484	-83.687935
3359.179688	-80.388107
3380.712891	-83.149994
3402.246094	-80.966751
3423.779297	-87.740265
3445.312500	-95.364616
3466.845703	-91.991600
3488.378906	-91.529831
3509.912109	-94.099792
3531.445312	-95.371803
3552.978516	-95.726990
3574.511719	-95.250557
3596.044922	-93.738396
3617.578125	-93.834274
3639.111328	-93.977928
3660.644531	-93.750656
3682.177734	-94.058739
3703.710938	-96.025360
3725.244141	-97.742691
3746.777344	-96.007568
3768.310547	-95.171562
3789.843750	-96.420998
3811.376953	-97.918556
3832.910156	-97.737701
3854.443359	-93.088722
3875.976562	-93.608971
3897.509766	-95.987968
3919.042969	-97.181496
3940.576172	-98.024681
3962.109375	-99.749878
3983.642578	-99.764671
4005.175781	-100.205406
4026.708984	-100.823845
4048.242188	-99.912308
4069.775391	-100.489456
4091.308594	-100.510239
4112.841797	-102.067360
4134.375000	-102.513313
4155.908203	-102.218185
4177.441406	-102.713501
4198.974609	-103.692162
4220.507812	-104.542366
4242.041016	-105.371338
4263.574219	-104.605049
4285.107422	-105.322617
4306.640625	-105.879738
4328.173828	-106.576401
4349.707031	-106.088577
4371.240234	-106.247971
4392.773438	-107.815758
4414.306641	-107.670494
4435.839844	-107.317818
4457.373047	-106.794998
4478.906250	-107.966301
4500.439453	-109.388672
4521.972656	-110.183395
4543.505859	-109.898872
4565.039062	-109.725967
4586.572266	-110.917671
4608.105469	-112.614510
4629.638672	-114.376671
4651.171875	-115.971352
4672.705078	-118.257469
4694.238281	-117.376663
4715.771484	-115.603111
4737.304688	-115.625328
4758.837891	-115.656326
4780.371094	-114.968239
4801.904297	-114.238838
4823.437500	-113.845718
4844.970703	-113.396439
4866.503906	-113.440483
4888.037109	-112.079178
4909.570312	-110.311905
4931.103516	-111.289268
4952.636719	-111.163216
4974.169922	-110.301903
4995.703125	-109.548752
5017.236328	-108.920372
5038.769531	-107.415054
5060.302734	-107.330467
5081.835938	-106.344582
5103.369141	-106.299812
5124.902344	-107.016518
5146.435547	-106.738281
5167.968750	-105.844955
5189.501953	-103.745102
5211.035156	-103.633255
5232.568359	-104.034882
5254.101562	-104.248642
5275.634766	-104.133400
5297.167969	-102.610352
5318.701172	-103.656685
5340.234375	-102.839066
5361.767578	-103.285538
