Frequency (Hz)	Level (dB)
21.533203	-66.591171
43.066406	-52.569477
64.599609	-47.313019
86.132812	-49.954506
107.666016	-53.471317
129.199219	-51.822868
150.732422	-53.715405
172.265625	-51.177105
193.798828	-46.688644
215.332031	-44.697578
236.865234	-47.582611
258.398438	-53.854668
279.931641	-55.256393
301.464844	-54.551373
322.998047	-51.486012
344.531250	-44.450989
366.064453	-33.052185
387.597656	-24.440231
409.130859	-27.533730
430.664062	-43.170891
452.197266	-42.668785
473.730469	-30.249258
495.263672	-25.475302
516.796875	-31.710707
538.330078	-44.905689
559.863281	-38.742596
581.396484	-33.977844
602.929688	-36.847942
624.462891	-47.326775
645.996094	-54.915443
667.529297	-51.901024
689.062500	-47.373444
710.595703	-50.482475
732.128906	-55.365299
753.662109	-52.486473
775.195312	-42.878738
796.728516	-44.015144
818.261719	-55.971195
839.794922	-64.921989
861.328125	-64.749168
882.861328	-65.856255
904.394531	-64.928543
925.927734	-64.042381
947.460938	-58.879028
968.994141	-48.890179
990.527344	-42.290333
1012.060547	-46.352509
1033.593750	-62.976929
1055.126953	-65.904610
1076.660156	-65.334160
1098.193359	-68.197792
1119.726562	-70.830002
1141.259766	-67.196053
1162.792969	-52.343891
1184.326172	-49.684624
1205.859375	-57.575233
1227.392578	-70.897583
1248.925781	-73.743942
1270.458984	-72.718300
1291.992188	-73.771240
1313.525391	-81.054718
1335.058594	-80.996773
1356.591797	-79.078537
1378.125000	-79.225372
1399.658203	-80.435677
1421.191406	-80.436562
1442.724609	-78.725151
1464.257812	-66.083015
1485.791016	-57.290527
1507.324219	-58.857487
1528.857422	-72.094009
1550.390625	-67.381393
1571.923828	-57.693607
1593.457031	-55.522285
1614.990234	-63.831627
1636.523438	-77.593956
1658.056641	-76.295380
1679.589844	-77.740089
1701.123047	-78.103851
1722.656250	-78.001877
1744.189453	-72.577225
1765.722656	-63.733299
1787.255859	-66.049416
1808.789062	-79.224258
1830.322266	-81.567230
1851.855469	-78.023491
1873.388672	-76.750328
1894.921875	-83.640900
1916.455078	-81.645706
1937.988281	-76.655342
1959.521484	-62.455311
1981.054688	-58.573433
2002.587891	-60.493938
2024.121094	-70.709625
2045.654297	-85.834648
2067.187500	-90.476288
2088.720703	-91.262405
2110.253906	-91.248848
2131.787109	-89.394753
2153.320312	-90.137573
2174.853516	-91.863785
2196.386719	-93.383629
2217.919922	-92.380661
2239.453125	-89.959450
2260.986328	-88.932907
2282.519531	-90.317276
2304.052734	-90.755455
2325.585938	-87.872200
2347.119141	-81.410393
2368.652344	-73.755417
2390.185547	-70.487137
2411.718750	-71.922791
2433.251953	-80.716881
2454.785156	-90.810226
2476.318359	-85.254997
2497.851562	-76.549835
2519.384766	-77.509918
2540.917969	-87.336624
2562.451172	-96.536385
2583.984375	-98.333008
2605.517578	-96.932152
2627.050781	-97.400116
2648.583984	-97.688164
2670.117188	-97.039368
2691.650391	-96.840904
2713.183594	-95.206116
2734.716797	-94.102287
2756.250000	-92.356873
2777.783203	-83.421654
2799.316406	-78.846130
2820.849609	-79.582123
2842.382812	-85.614754
2863.916016	-94.713287
2885.449219	-97.240280
2906.982422	-97.676926
2928.515625	-98.034576
2950.048828	-96.860535
2971.582031	-95.213737
2993.115234	-94.825569
3014.648438	-93.192123
3036.181641	-91.724098
3057.714844	-96.714401
3079.248047	-97.878288
3100.781250	-96.903336
3122.314453	-96.367020
3143.847656	-98.514145
3165.380859	-97.857117
3186.914062	-87.512161
3208.447266	-81.896942
3229.980469	-80.002655
3251.513672	-81.542847
3273.046875	-92.158882
3294.580078	-98.969833
3316.113281	-99.203430
3337.646484	-99.862106
3359.179688	-99.158661
3380.712891	-97.390015
3402.246094	-95.630165
3423.779297	-95.681129
3445.312500	-96.670929
3466.845703	-97.278702
3488.378906	-96.105995
3509.912109	-97.766945
3531.445312	-96.765961
3552.978516	-94.860985
3574.511719	-96.013908
3596.044922	-94.834984
3617.578125	-96.821785
3639.111328	-99.602150
3660.644531	-99.548676
3682.177734	-99.221718
3703.710938	-100.033073
3725.244141	-99.698479
3746.777344	-98.796272
3768.310547	-98.007744
3789.843750	-99.774231
3811.376953	-99.950432
3832.910156	-100.771820
3854.443359	-100.515167
3875.976562	-100.847664
3897.509766	-100.839317
3919.042969	-101.807610
3940.576172	-102.157257
3962.109375	-100.646942
3983.642578	-101.900047
4005.175781	-102.181328
4026.708984	-101.147820
4048.242188	-99.204895
4069.775391	-93.800079
4091.308594	-94.591553
4112.841797	-101.293701
4134.375000	-103.308907
4155.908203	-103.370728
4177.441406	-102.643242
4198.974609	-102.783218
4220.507812	-103.743118
4242.041016	-105.465363
4263.574219	-105.637970
4285.107422	-105.296516
4306.640625	-105.675476
4328.173828	-106.630226
4349.707031	-107.352562
4371.240234	-107.062630
4392.773438	-108.144714
4414.306641	-108.357597
4435.839844	-108.038864
4457.373047	-108.812088
4478.906250	-109.241089
4500.439453	-109.591202
4521.972656	-109.774117
4543.505859	-110.211189
4565.039062	-111.035881
4586.572266	-112.045052
4608.105469	-113.890450
4629.638672	-114.647072
4651.171875	-114.890434
4672.705078	-116.399696
4694.238281	-118.531303
4715.771484	-117.000435
4737.304688	-115.197090
4758.837891	-114.549973
4780.371094	-113.700348
4801.904297	-113.829071
4823.437500	-112.140938
4844.970703	-110.017784
4866.503906	-109.535072
4888.037109	-111.229958
4909.570312	-112.576942
4931.103516	-111.243469
4952.636719	-110.226837
4974.169922	-108.930374
4995.703125	-108.499046
5017.236328	-107.744255
5038.769531	-106.526970
5060.302734	-107.064995
5081.835938	-107.716560
5103.369141	-106.963623
5124.902344	-106.399132
5146.435547	-105.535698
5167.968750	-104.625473
5189.501953	-104.385025
5211.035156	-104.785934
5232.568359	-105.928879
5254.101562	-105.730904
5275.634766	-105.106064
5297.167969	-104.786903
5318.701172	-105.271156
5340.234375	-104.613365
5361.767578	-103.303711
5383.300781	-103.419014
5404.833984	-103.785225
5426.367188	-103.546669
5447.900391	-103.725327
5469.433594	-102.608719
5490.966797	-101.528183
5512.500000	-101.745781
5534.033203	-101.174080
5555.566406	-101.794624
5577.099609	-102.208786
5598.632812	-102.232468
5620.166016	-102.318436
5641.699219	-102.734512
5663.232422	-100.885651
5684.765625	-100.830269
5706.298828	-101.405380
5727.832031	-100.847778
5749.365234	-101.096916
5770.898438	-101.413109
5792.431641	-102.047371
5813.964844	-100.638527
5835.498047	-100.770126
5857.031250	-100.503075
5878.564453	-99.682594
5900.097656	-100.002701
5921.630859	-99.614998
5943.164062	-100.376381
5964.697266	-99.962143
5986.230469	-100.084595
6007.763672	-100.213013
6029.296875	-98.539474
6050.830078	-98.945251
6072.363281	-99.331223
6093.896484	-98.747856
6115.429688	-99.051453
6136.962891	-98.589050
6158.496094	-98.953743
6180.029297	-99.108459
6201.562500	-99.088440
6223.095703	-98.979500
6244.628906	-99.040337
6266.162109	-99.054245
6287.695312	-99.277626
6309.228516	-99.022728
6330.761719	-98.256996
6352.294922	-98.965202
6373.828125	-98.488228
6395.361328	-99.079559
6416.894531	-97.874985
6438.427734	-98.019043
6459.960938	-98.624344
6481.494141	-98.030136
6503.027344	-97.888351
6524.560547	-98.665329
6546.093750	-98.528564
6567.626953	-97.448608
6589.160156	-97.555038
6610.693359	-98.152786
6632.226562	-99.164436
6653.759766	-98.989098
6675.292969	-98.767769
6696.826172	-98.540703
6718.359375	-98.057976
6739.892578	-97.359230
6761.425781	-97.081604
6782.958984	-98.896950
6804.492188	-98.052055
6826.025391	-98.734322
6847.558594	-98.992981
6869.091797	-97.663261
6890.625000	-98.152534
6912.158203	-99.052811
6933.691406	-99.529396
6955.224609	-98.285507
6976.757812	-98.367432
6998.291016	-98.528534
7019.824219	-99.268402
7041.357422	-99.224998
7062.890625	-98.888519
7084.423828	-98.909477
7105.957031	-98.839767
7127.490234	-99.751244
7149.023438	-99.970535
7170.556641	-99.356476
7192.089844	-99.585495
7213.623047	-99.071106
7235.156250	-99.110870
7256.689453	-99.405914
7278.222656	-99.759537
7299.755859	-99.347328
7321.289062	-99.565575
7342.822266	-100.292084
7364.355469	-100.362770
7385.888672	-99.829781
7407.421875	-100.048630
7428.955078	-99.524261
7450.488281	-98.782898
7472.021484	-99.936195
7493.554688	-99.865196
7515.087891	-100.363213
7536.621094	-100.210106
7558.154297	-100.139771
7579.687500	-100.837357
7601.220703	-101.132980
7622.753906	-101.202194
7644.287109	-101.591415
7665.820312	-100.632866
7687.353516	-101.083061
7708.886719	-100.657646
7730.419922	-101.173866
7751.953125	-101.914665
7773.486328	-102.342987
7795.019531	-101.673828
7816.552734	-102.326584
7838.085938	-102.659035
7859.619141	-102.037483
7881.152344	-102.655289
7902.685547	-103.155968
7924.218750	-103.314850
7945.751953	-103.433929
7967.285156	-103.339897
7988.818359	-102.418434
8010.351562	-101.915146
8031.884766	-102.429588
8053.417969	-102.371140
8074.951172	-102.490585
8096.484375	-103.647278
8118.017578	-102.846954
8139.550781	-103.166832
8161.083984	-103.129204
8182.617188	-104.382820
8204.150391	-104.594627
8225.683594	-104.599396
8247.216797	-105.012367
8268.750000	-105.013107
8290.283203	-104.577736
8311.816406	-103.482445
8333.349609	-104.517494
8354.882812	-105.272560
8376.416016	-105.479843
8397.949219	-105.745888
8419.482422	-107.195404
8441.015625	-107.285896
8462.548828	-107.467934
8484.082031	-107.415848
8505.615234	-107.754150
8527.148438	-108.360275
8548.681641	-109.217628
8570.214844	-108.850967
8591.748047	-109.741470
8613.281250	-111.657318
8634.814453	-113.611252
8656.347656	-113.833771
8677.880859	-115.403687
8699.414062	-118.066780
8720.947266	-119.764465
8742.480469	-119.898827
8764.013672	-121.379120
8785.546875	-122.800926
8807.080078	-123.093872
8828.613281	-123.622017
8850.146484	-123.225136
8871.679688	-123.667137
8893.212891	-123.619499
8914.746094	-123.874474
8936.279297	-123.913399
8957.812500	-124.170883
8979.345703	-123.687386
9000.878906	-122.828949
9022.412109	-121.657188
9043.945312	-119.116623
9065.478516	-118.240395
9087.011719	-118.110489
9108.544922	-115.118866
9130.078125	-114.182198
9151.611328	-114.205093
9173.144531	-113.645569
9194.677734	-112.883278
9216.210938	-110.607552
9237.744141	-110.362892
9259.277344	-110.772278
9280.810547	-109.791634
9302.343750	-109.124771
9323.876953	-109.134026
9345.410156	-108.896332
9366.943359	-107.114891
9388.476562	-106.927429
9410.009766	-107.865845
9431.542969	-106.594551
